@T,soils
descr,soils_hor.csv
depth_acc,FALSE
  
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content,initSWC
min,1,0,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500,1
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil,Vol.%
,1001,5,0.419443541,0.3,0.016393067,54.03418652,1.4,5,1,0.3,6,10,0.1539375
,1002,10,0.401297366,0.3,0.054667381,8.827570981,1.4,5,1,0.3,6,10,0.1539375
,1003,10,0.480424301,0.3,0.011849824,96.05714734,1.4,5,1,0.3,6,10,0.1539375
,1004,10,0.412527405,0.3,0.001903886,97.80415011,1.4,0.5,1,0.3,6,10,0.1539375
,1005,10,0.499105637,0.3,0.052104319,2.87430624,1.4,0.5,1,0.3,6,10,0.1977625
,1006,10,0.465648346,0.3,0.030044254,38.35196323,1.4,0.5,1,0.3,6,10,0.184783333
,1007,10,0.462726774,0.3,0.047590902,28.02952632,1.4,0.5,1,0.3,6,10,0.151116667
,1008,10,0.46653768,0.3,0.017742601,70.82735736,1.4,0.5,1,0.3,6,10,0.143654167
,1009,10,0.404453771,0.3,0.015102388,87.45384636,1.4,0.5,1,0.3,6,10,0.155879167
,1010,10,0.401588013,0.3,0.005807113,2.322861481,1.4,0.5,1,0.3,6,10,0.1232125
,1011,10,0.484295049,0.3,0.007167748,44.63135249,1.4,0.5,1,0.3,6,10,0.118226389
,1012,10,0.488945341,0.3,0.043367681,14.53637198,1.4,0.1,1,0.3,6,10,0.113240278
,1013,10,0.476092483,0.3,0.039297134,66.11248136,1.4,0.1,1,0.3,6,10,0.108254167
,1014,10,0.43030716,0.3,0.042829555,43.40824871,1.4,0.1,1,0.3,6,10,0.112841667
,1015,10,0.41559057,0.3,0.042754492,34.54544164,1.4,0.1,1,0.3,6,10,0.117429167
,1016,10,0.452115299,0.3,0.058836327,1.608086932,1.4,0.1,1,0.3,6,10,0.122016667
,1017,10,0.494200762,0.3,0.059934733,82.53273222,1.4,0.1,1,0.3,6,10,0.129445834
,1018,10,0.418589739,0.3,2.80E-04,53.21981865,1.4,0.1,1,0.3,6,10,0.136875
,1019,10,0.437900422,0.3,0.030255352,23.2049302,1.4,0.1,1,0.3,6,10,0.136875
,1020,315,0.45,0.23,0.3,50,1.4,0.1,1,0.3,6,10,0.136875
