@T,climate   
name,tmax   
descr,max temperature   

missing_val,-9999 
date_start,01.08.2002   
date_end,01.10.2003   
date_format,dd.MM.yyyy   

tres,d   
unit,C   

@H,date,tmax[1]
name,-,Drake
ID,-,1
elevation,-,1572
x,-,512701
y,-,4495474
,01.08.2002,24.69
,02.08.2002,29.4
,03.08.2002,30.62
,04.08.2002,29.88
,05.08.2002,29.29
,06.08.2002,32.19
,07.08.2002,31.46
,08.08.2002,30.13
,09.08.2002,27.82
,10.08.2002,31.35
,11.08.2002,33.41
,12.08.2002,18.91
,13.08.2002,23.34
,14.08.2002,32.44
,15.08.2002,25.04
,16.08.2002,36.46
,17.08.2002,22.51
,18.08.2002,29.29
,19.08.2002,28.56
,20.08.2002,28.56
,21.08.2002,29.88
,22.08.2002,27.82
,23.08.2002,29.53
,24.08.2002,26.12
,25.08.2002,29.88
,26.08.2002,32.92
,27.08.2002,24.55
,28.08.2002,23.58
,29.08.2002,24.55
,30.08.2002,28.56
,31.08.2002,31.59
,01.09.2002,30.13
,02.09.2002,26.36
,03.09.2002,29.77
,04.09.2002,30.86
,05.09.2002,33.17
,06.09.2002,33.9
,07.09.2002,32.44
,08.09.2002,28.31
,09.09.2002,22.75
,10.09.2002,18.42
,11.09.2002,22.02
,12.09.2002,22.02
,13.09.2002,19.25
,14.09.2002,24.31
,15.09.2002,27.82
,16.09.2002,28.8
,17.09.2002,23.48
,18.09.2002,19.73
,19.09.2002,21.43
,20.09.2002,25.88
,21.09.2002,15.76
,22.09.2002,19.25
,23.09.2002,18.52
,24.09.2002,26.85
,25.09.2002,14.93
,26.09.2002,15.76
,27.09.2002,22.75
,28.09.2002,18.76
,29.09.2002,23.48
,30.09.2002,23.34
,01.10.2002,14.54
,02.10.2002,4.52
,03.10.2002,10.97
,04.10.2002,14.79
,05.10.2002,19.01
,06.10.2002,13.09
,07.10.2002,22.26
,08.10.2002,20.46
,09.10.2002,20.32
,10.10.2002,24.8
,11.10.2002,26.85
,12.10.2002,9.76
,13.10.2002,17.45
,14.10.2002,16
,15.10.2002,14.06
,16.10.2002,14.06
,17.10.2002,17.21
,18.10.2002,21.29
,19.10.2002,16.48
,20.10.2002,21.29
,21.10.2002,13.09
,22.10.2002,4.28
,23.10.2002,-3.17
,24.10.2002,-1.17
,25.10.2002,12.85
,26.10.2002,14.06
,27.10.2002,9.28
,28.10.2002,13.82
,29.10.2002,1.06
,30.10.2002,-7.56
,31.10.2002,-7.56
,01.11.2002,-6.05
,02.11.2002,-2.3
,03.11.2002,1.31
,04.11.2002,1.63
,05.11.2002,8.8
,06.11.2002,10.82
,07.11.2002,12.66
,08.11.2002,16.73
,09.11.2002,13.97
,10.11.2002,10
,11.11.2002,7.74
,12.11.2002,9.04
,13.11.2002,14.21
,14.11.2002,8.8
,15.11.2002,8.47
,16.11.2002,12.51
,17.11.2002,14.54
,18.11.2002,10.34
,19.11.2002,14.06
,20.11.2002,17.21
,21.11.2002,18.04
,22.11.2002,22.26
,23.11.2002,9.28
,24.11.2002,-1.89
,25.11.2002,-1.49
,26.11.2002,-1.58
,27.11.2002,7.26
,28.11.2002,11.3
,29.11.2002,12.51
,30.11.2002,5.33
,01.12.2002,11.21
,02.12.2002,12.76
,03.12.2002,-0.69
,04.12.2002,-0.45
,05.12.2002,7.26
,06.12.2002,8.8
,07.12.2002,7.5
,08.12.2002,4.76
,09.12.2002,10.34
,10.12.2002,12.61
,11.12.2002,8.55
,12.12.2002,3.8
,13.12.2002,13.33
,14.12.2002,13.09
,15.12.2002,15.66
,16.12.2002,10.25
,17.12.2002,9.52
,18.12.2002,2.35
,19.12.2002,1.87
,20.12.2002,3.8
,21.12.2002,5.24
,22.12.2002,4.04
,23.12.2002,-1.17
,24.12.2002,-0.37
,25.12.2002,1.14
,26.12.2002,2.11
,27.12.2002,12.03
,28.12.2002,10.4
,29.12.2002,16
,30.12.2002,7.02
,31.12.2002,10.25
,01.01.2003,7.02
,02.01.2003,10.82
,03.01.2003,17.69
,04.01.2003,9.28
,05.01.2003,10.73
,06.01.2003,8.8
,07.01.2003,16.48
,08.01.2003,19.01
,09.01.2003,2.83
,10.01.2003,-5.88
,11.01.2003,0.1
,12.01.2003,8.55
,13.01.2003,16.73
,14.01.2003,8.07
,15.01.2003,10.64
,16.01.2003,6.78
,17.01.2003,7.02
,18.01.2003,6.29
,19.01.2003,20.22
,20.01.2003,17.69
,21.01.2003,7.74
,22.01.2003,-5.16
,23.01.2003,8.14
,24.01.2003,8.8
,25.01.2003,11.79
,26.01.2003,10.25
,27.01.2003,17.94
,28.01.2003,9.19
,29.01.2003,8.8
,30.01.2003,15.76
,31.01.2003,18.91
,01.02.2003,22.51
,02.02.2003,14.69
,03.02.2003,0.82
,04.02.2003,1.87
,05.02.2003,-2.61
,06.02.2003,-7.08
,07.02.2003,-0.13
,08.02.2003,-0.13
,09.02.2003,0.34
,10.02.2003,7.74
,11.02.2003,7.02
,12.02.2003,9.76
,13.02.2003,7.5
,14.02.2003,11.7
,15.02.2003,1.31
,16.02.2003,5.73
,17.02.2003,10.73
,18.02.2003,6.78
,19.02.2003,8.07
,20.02.2003,9.76
,21.02.2003,10.73
