@T,climate
descr,relative humidity
unit,%
 missing_value,-9999
 date_start,01.01.2008
 date_end,31.12.2014
 date_format,dd.MM.yyyy

@H,date,rehum[1]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
y,-,4477675
,01.01.2008,75.77
,02.01.2008,74.03
,03.01.2008,69.71
,04.01.2008,77.58
,05.01.2008,73.44
,06.01.2008,72.96
,07.01.2008,72.67
,08.01.2008,75.24
,09.01.2008,74.85
,10.01.2008,68.22
,11.01.2008,73.20
,12.01.2008,64.77
,13.01.2008,63.04
,14.01.2008,68.22
,15.01.2008,70.01
,16.01.2008,64.87
,17.01.2008,66.76
,18.01.2008,58.62
,19.01.2008,60.35
,20.01.2008,61.86
,21.01.2008,63.16
,22.01.2008,62.67
,23.01.2008,65.48
,24.01.2008,56.76
,25.01.2008,58.39
,26.01.2008,64.54
,27.01.2008,71.20
,28.01.2008,73.24
,29.01.2008,67.31
,30.01.2008,69.41
,31.01.2008,73.65
,01.02.2008,65.96
,02.02.2008,66.05
,03.02.2008,71.37
,04.02.2008,74.05
,05.02.2008,68.11
,06.02.2008,70.00
,07.02.2008,75.08
,08.02.2008,75.56
,09.02.2008,74.42
,10.02.2008,72.89
,11.02.2008,74.53
,12.02.2008,69.17
,13.02.2008,61.25
,14.02.2008,68.09
,15.02.2008,71.56
,16.02.2008,62.47
,17.02.2008,51.10
,18.02.2008,59.93
,19.02.2008,69.34
,20.02.2008,66.10
,21.02.2008,65.17
,22.02.2008,65.13
,23.02.2008,68.01
,24.02.2008,74.71
,25.02.2008,70.43
,26.02.2008,61.44
,27.02.2008,61.16
,28.02.2008,71.33
,29.02.2008,30.40
,01.03.2008,61.03
,02.03.2008,68.21
,03.03.2008,61.04
,04.03.2008,62.88
,05.03.2008,63.72
,06.03.2008,58.44
,07.03.2008,73.19
,08.03.2008,69.37
,09.03.2008,52.44
,10.03.2008,53.30
,11.03.2008,51.99
,12.03.2008,52.75
,13.03.2008,56.56
,14.03.2008,53.45
,15.03.2008,46.72
,16.03.2008,46.41
,17.03.2008,44.60
,18.03.2008,43.42
,19.03.2008,48.37
,20.03.2008,49.69
,21.03.2008,43.84
,22.03.2008,44.67
,23.03.2008,59.07
,24.03.2008,64.01
,25.03.2008,67.59
,26.03.2008,62.35
,27.03.2008,57.49
,28.03.2008,52.91
,29.03.2008,50.63
,30.03.2008,43.40
,31.03.2008,45.37
,01.04.2008,49.73
,02.04.2008,52.58
,03.04.2008,61.99
,04.04.2008,48.61
,05.04.2008,46.73
,06.04.2008,50.33
,07.04.2008,51.47
,08.04.2008,52.11
,09.04.2008,58.05
,10.04.2008,61.73
,11.04.2008,59.18
,12.04.2008,54.31
,13.04.2008,53.32
,14.04.2008,51.02
,15.04.2008,58.58
,16.04.2008,61.69
,17.04.2008,66.16
,18.04.2008,65.07
,19.04.2008,60.70
,20.04.2008,69.01
,21.04.2008,62.42
,22.04.2008,65.31
,23.04.2008,63.62
,24.04.2008,57.23
,25.04.2008,58.45
,26.04.2008,53.15
,27.04.2008,47.53
,28.04.2008,36.66
,29.04.2008,50.29
,30.04.2008,47.93
,01.05.2008,56.99
,02.05.2008,57.10
,03.05.2008,50.96
,04.05.2008,41.23
,05.05.2008,43.35
,06.05.2008,45.63
,07.05.2008,53.63
,08.05.2008,50.07
,09.05.2008,49.03
,10.05.2008,51.11
,11.05.2008,74.65
,12.05.2008,77.43
,13.05.2008,62.84
,14.05.2008,60.82
,15.05.2008,59.98
,16.05.2008,55.18
,17.05.2008,57.18
,18.05.2008,59.77
,19.05.2008,68.97
,20.05.2008,69.30
,21.05.2008,59.15
,22.05.2008,51.79
,23.05.2008,64.93
,24.05.2008,66.25
,25.05.2008,63.91
,26.05.2008,60.82
,27.05.2008,48.73
,28.05.2008,52.16
,29.05.2008,59.87
,30.05.2008,51.15
,31.05.2008,43.92
,01.06.2008,52.62
,02.06.2008,56.79
,03.06.2008,50.84
,04.06.2008,55.09
,05.06.2008,59.79
,06.06.2008,53.72
,07.06.2008,57.03
,08.06.2008,59.18
,09.06.2008,57.29
,10.06.2008,49.22
,11.06.2008,50.58
,12.06.2008,51.93
,13.06.2008,54.46
,14.06.2008,51.03
,15.06.2008,50.99
,16.06.2008,53.50
,17.06.2008,52.06
,18.06.2008,48.56
,19.06.2008,50.65
,20.06.2008,63.67
,21.06.2008,50.22
,22.06.2008,52.72
,23.06.2008,50.91
,24.06.2008,47.51
,25.06.2008,46.95
,26.06.2008,46.77
,27.06.2008,47.47
,28.06.2008,47.54
,29.06.2008,46.86
,30.06.2008,45.22
,01.07.2008,47.44
,02.07.2008,54.56
,03.07.2008,58.91
,04.07.2008,54.46
,05.07.2008,59.45
,06.07.2008,65.31
,07.07.2008,71.17
,08.07.2008,67.16
,09.07.2008,59.94
,10.07.2008,59.07
,11.07.2008,53.85
,12.07.2008,56.80
,13.07.2008,58.72
,14.07.2008,53.27
,15.07.2008,53.25
,16.07.2008,54.01
,17.07.2008,56.94
,18.07.2008,55.91
,19.07.2008,56.66
,20.07.2008,60.19
,21.07.2008,60.42
,22.07.2008,55.39
,23.07.2008,55.77
,24.07.2008,55.61
,25.07.2008,66.06
,26.07.2008,63.00
,27.07.2008,61.73
,28.07.2008,62.04
,29.07.2008,66.41
,30.07.2008,61.91
,31.07.2008,59.53
,01.08.2008,61.28
,02.08.2008,58.90
,03.08.2008,61.59
,04.08.2008,61.53
,05.08.2008,60.46
,06.08.2008,59.06
,07.08.2008,62.78
,08.08.2008,59.86
,09.08.2008,64.89
