@T,climate
name,solrad

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,MJ_m2

@H,date,solrad[0]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
y,-,4477675
,01.01.2008,7.30
,02.01.2008,8.33
,03.01.2008,7.18
,04.01.2008,8.84
,05.01.2008,8.60
,06.01.2008,8.44
,07.01.2008,7.57
,08.01.2008,8.65
,09.01.2008,8.79
,10.01.2008,8.39
,11.01.2008,8.07
,12.01.2008,9.58
,13.01.2008,9.02
,14.01.2008,8.84
,15.01.2008,7.54
,16.01.2008,8.82
,17.01.2008,9.76
,18.01.2008,9.28
,19.01.2008,8.18
,20.01.2008,9.34
,21.01.2008,9.84
,22.01.2008,9.42
,23.01.2008,8.67
,24.01.2008,8.79
,25.01.2008,9.73
,26.01.2008,8.99
,27.01.2008,8.33
,28.01.2008,9.15
,29.01.2008,10.85
,30.01.2008,7.70
,31.01.2008,8.90
,01.02.2008,10.82
,02.02.2008,12.01
,03.02.2008,8.81
,04.02.2008,9.72
,05.02.2008,10.65
,06.02.2008,8.70
,07.02.2008,9.41
,08.02.2008,10.86
,09.02.2008,10.87
,10.02.2008,12.02
,11.02.2008,12.27
,12.02.2008,11.32
,13.02.2008,12.05
,14.02.2008,11.51
,15.02.2008,12.06
,16.02.2008,14.74
,17.02.2008,12.18
,18.02.2008,12.51
,19.02.2008,12.19
,20.02.2008,11.97
,21.02.2008,13.66
,22.02.2008,15.02
,23.02.2008,13.20
,24.02.2008,12.10
,25.02.2008,13.74
,26.02.2008,15.72
,27.02.2008,14.62
,28.02.2008,10.55
,29.02.2008,16.12
,01.03.2008,12.46
,02.03.2008,14.77
,03.03.2008,15.12
,04.03.2008,13.62
,05.03.2008,14.06
,06.03.2008,15.16
,07.03.2008,10.37
,08.03.2008,11.19
,09.03.2008,14.97
,10.03.2008,16.04
,11.03.2008,15.23
,12.03.2008,15.84
,13.03.2008,17.26
,14.03.2008,14.19
,15.03.2008,17.29
,16.03.2008,15.43
,17.03.2008,17.16
,18.03.2008,18.32
,19.03.2008,17.23
,20.03.2008,18.54
,21.03.2008,17.92
,22.03.2008,18.45
,23.03.2008,16.42
,24.03.2008,19.33
,25.03.2008,18.80
,26.03.2008,16.64
,27.03.2008,19.72
,28.03.2008,20.27
,29.03.2008,18.67
,30.03.2008,17.38
,31.03.2008,20.17
,01.04.2008,21.23
,02.04.2008,12.03
,03.04.2008,14.27
,04.04.2008,23.05
,05.04.2008,18.79
,06.04.2008,18.13
,07.04.2008,22.13
,08.04.2008,21.16
,09.04.2008,20.17
,10.04.2008,21.22
,11.04.2008,17.88
,12.04.2008,18.41
,13.04.2008,18.22
,14.04.2008,21.29
,15.04.2008,20.28
,16.04.2008,16.52
,17.04.2008,15.83
,18.04.2008,20.31
,19.04.2008,21.20
,20.04.2008,19.65
,21.04.2008,20.25
,22.04.2008,17.39
,23.04.2008,19.19
,24.04.2008,18.50
,25.04.2008,19.21
,26.04.2008,22.28
,27.04.2008,23.46
,28.04.2008,27.49
,29.04.2008,21.82
,30.04.2008,20.06
,01.05.2008,19.39
,02.05.2008,24.25
,03.05.2008,25.85
,04.05.2008,23.39
,05.05.2008,25.86
,06.05.2008,21.83
,07.05.2008,20.77
,08.05.2008,24.52
,09.05.2008,24.79
,10.05.2008,23.77
,11.05.2008,9.50
,12.05.2008,12.93
,13.05.2008,25.79
,14.05.2008,20.66
,15.05.2008,20.01
,16.05.2008,23.42
,17.05.2008,22.18
,18.05.2008,16.46
,19.05.2008,14.68
,20.05.2008,22.24
,21.05.2008,24.06
,22.05.2008,24.97
,23.05.2008,19.46
,24.05.2008,21.37
,25.05.2008,18.36
,26.05.2008,21.77
,27.05.2008,26.50
,28.05.2008,23.70
,29.05.2008,23.71
,30.05.2008,25.98
,31.05.2008,28.34
,01.06.2008,20.48
,02.06.2008,20.09
,03.06.2008,20.80
,04.06.2008,25.97
,05.06.2008,21.50
,06.06.2008,28.06
,07.06.2008,24.50
,08.06.2008,23.32
,09.06.2008,23.68
,10.06.2008,26.38
,11.06.2008,24.63
,12.06.2008,25.56
,13.06.2008,24.82
,14.06.2008,26.77
,15.06.2008,26.29
,16.06.2008,24.65
,17.06.2008,26.11
,18.06.2008,25.86
,19.06.2008,27.18
,20.06.2008,23.58
,21.06.2008,28.03
,22.06.2008,27.36
,23.06.2008,26.36
,24.06.2008,26.68
,25.06.2008,24.23
,26.06.2008,25.16
,27.06.2008,26.97
,28.06.2008,27.67
,29.06.2008,26.70
,30.06.2008,25.71
,01.07.2008,23.26
,02.07.2008,24.53
,03.07.2008,25.21
,04.07.2008,24.88
,05.07.2008,22.35
,06.07.2008,21.33
,07.07.2008,19.67
,08.07.2008,25.18
,09.07.2008,26.36
,10.07.2008,24.91
,11.07.2008,26.29
,12.07.2008,25.24
,13.07.2008,25.53
,14.07.2008,25.37
,15.07.2008,26.91
,16.07.2008,27.36
,17.07.2008,26.29
,18.07.2008,26.62
,19.07.2008,23.94
,20.07.2008,24.14
,21.07.2008,24.13
,22.07.2008,26.46
,23.07.2008,23.99
,24.07.2008,24.90
,25.07.2008,20.35
,26.07.2008,24.88
,27.07.2008,22.75
,28.07.2008,19.94
,29.07.2008,19.78
,30.07.2008,23.75
,31.07.2008,25.24
,01.08.2008,21.82
,02.08.2008,21.56
,03.08.2008,21.38
,04.08.2008,22.39
,05.08.2008,24.19
,06.08.2008,20.65
,07.08.2008,23.37
,08.08.2008,21.99
