@T,climate
name,tmax
descr,max temperature

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,C

@H,date,tmax[1]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
y,-,4477675
,01.01.2008,-0.2
,02.01.2008,3.0
,03.01.2008,6.8
,04.01.2008,4.0
,05.01.2008,4.6
,06.01.2008,3.0
,07.01.2008,2.2
,08.01.2008,4.0
,09.01.2008,6.9
,10.01.2008,4.1
,11.01.2008,3.2
,12.01.2008,4.1
,13.01.2008,6.2
,14.01.2008,6.3
,15.01.2008,7.2
,16.01.2008,7.1
,17.01.2008,8.7
,18.01.2008,11.9
,19.01.2008,11.6
,20.01.2008,7.6
,21.01.2008,10.1
,22.01.2008,8.5
,23.01.2008,7.1
,24.01.2008,8.0
,25.01.2008,11.3
,26.01.2008,9.9
,27.01.2008,5.3
,28.01.2008,6.3
,29.01.2008,8.9
,30.01.2008,6.6
,31.01.2008,2.5
,01.02.2008,1.7
,02.02.2008,1.9
,03.02.2008,3.7
,04.02.2008,5.3
,05.02.2008,1.7
,06.02.2008,0.9
,07.02.2008,0.6
,08.02.2008,-0.7
,09.02.2008,-0.5
,10.02.2008,2.5
,11.02.2008,1.8
,12.02.2008,5.4
,13.02.2008,11.6
,14.02.2008,5.4
,15.02.2008,7.0
,16.02.2008,13.2
,17.02.2008,12.0
,18.02.2008,9.2
,19.02.2008,8.9
,20.02.2008,4.1
,21.02.2008,4.2
,22.02.2008,8.1
,23.02.2008,5.9
,24.02.2008,6.0
,25.02.2008,2.7
,26.02.2008,6.8
,27.02.2008,8.1
,28.02.2008,7.1
,29.02.2008,13.8
,01.03.2008,8.9
,02.03.2008,9.7
,03.03.2008,14.3
,04.03.2008,11.5
,05.03.2008,10.3
,06.03.2008,14.4
,07.03.2008,6.8
,08.03.2008,8.6
,09.03.2008,11.6
,10.03.2008,15.0
,11.03.2008,15.6
,12.03.2008,13.6
,13.03.2008,17.4
,14.03.2008,17.3
,15.03.2008,19.1
,16.03.2008,20.7
,17.03.2008,20.1
,18.03.2008,16.8
,19.03.2008,12.2
,20.03.2008,11.3
,21.03.2008,18.7
,22.03.2008,15.8
,23.03.2008,11.5
,24.03.2008,10.0
,25.03.2008,12.1
,26.03.2008,13.8
,27.03.2008,13.4
,28.03.2008,18.8
,29.03.2008,19.0
,30.03.2008,20.9
,31.03.2008,21.5
,01.04.2008,19.2
,02.04.2008,14.8
,03.04.2008,14.2
,04.04.2008,16.5
,05.04.2008,22.3
,06.04.2008,17.0
,07.04.2008,16.0
,08.04.2008,21.9
,09.04.2008,14.4
,10.04.2008,12.7
,11.04.2008,17.5
,12.04.2008,19.0
,13.04.2008,16.9
,14.04.2008,15.1
,15.04.2008,12.2
,16.04.2008,12.5
,17.04.2008,14.2
,18.04.2008,15.8
,19.04.2008,17.7
,20.04.2008,16.8
,21.04.2008,19.0
,22.04.2008,15.3
,23.04.2008,12.5
,24.04.2008,17.3
,25.04.2008,19.6
,26.04.2008,19.0
,27.04.2008,19.6
,28.04.2008,23.2
,29.04.2008,18.7
,30.04.2008,15.3
,01.05.2008,13.3
,02.05.2008,15.2
,03.05.2008,21.1
,04.05.2008,21.4
,05.05.2008,21.2
,06.05.2008,19.5
,07.05.2008,18.9
,08.05.2008,21.4
,09.05.2008,24.0
,10.05.2008,23.8
,11.05.2008,11.7
,12.05.2008,13.2
,13.05.2008,20.4
,14.05.2008,21.2
,15.05.2008,20.3
,16.05.2008,24.9
,17.05.2008,24.7
,18.05.2008,23.0
,19.05.2008,16.7
,20.05.2008,20.1
,21.05.2008,22.8
,22.05.2008,27.3
,23.05.2008,21.8
,24.05.2008,22.5
,25.05.2008,22.4
,26.05.2008,25.5
,27.05.2008,25.7
,28.05.2008,25.8
,29.05.2008,24.2
,30.05.2008,24.3
,31.05.2008,25.5
,01.06.2008,24.9
,02.06.2008,26.4
,03.06.2008,27.4
,04.06.2008,27.7
,05.06.2008,25.4
,06.06.2008,29.7
,07.06.2008,27.0
,08.06.2008,24.8
,09.06.2008,26.1
,10.06.2008,28.0
,11.06.2008,26.1
,12.06.2008,25.0
,13.06.2008,27.0
,14.06.2008,27.3
,15.06.2008,28.1
,16.06.2008,28.6
,17.06.2008,30.2
,18.06.2008,30.1
,19.06.2008,29.8
,20.06.2008,26.1
,21.06.2008,30.1
,22.06.2008,31.3
,23.06.2008,30.3
,24.06.2008,33.4
,25.06.2008,33.6
,26.06.2008,33.7
,27.06.2008,30.9
,28.06.2008,32.7
,29.06.2008,33.1
,30.06.2008,32.5
,01.07.2008,32.5
,02.07.2008,31.5
,03.07.2008,31.4
,04.07.2008,32.4
,05.07.2008,32.0
,06.07.2008,30.6
,07.07.2008,28.3
,08.07.2008,29.5
,09.07.2008,30.5
,10.07.2008,31.6
,11.07.2008,33.8
,12.07.2008,31.8
,13.07.2008,32.6
,14.07.2008,32.1
,15.07.2008,32.1
,16.07.2008,32.7
,17.07.2008,32.8
,18.07.2008,33.3
,19.07.2008,33.6
,20.07.2008,32.6
,21.07.2008,31.4
,22.07.2008,33.2
,23.07.2008,33.2
,24.07.2008,32.5
,25.07.2008,30.1
,26.07.2008,31.8
,27.07.2008,31.0
,28.07.2008,29.9
,29.07.2008,29.9
,30.07.2008,31.0
,31.07.2008,31.9
,01.08.2008,32.7
,02.08.2008,33.6
,03.08.2008,32.5
,04.08.2008,30.3
,05.08.2008,31.7
,06.08.2008,32.7
,07.08.2008,30.5
,08.08.2008,30.6
