@T,climate
name,tmin
descr,min temperature

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,C

@H,date,tmin[0]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
y,-,4477675
,01.01.2008,-14.9
,02.01.2008,-14.0
,03.01.2008,-11.8
,04.01.2008,-14.7
,05.01.2008,-13.6
,06.01.2008,-16.9
,07.01.2008,-13.2
,08.01.2008,-13.8
,09.01.2008,-13.4
,10.01.2008,-12.9
,11.01.2008,-16.3
,12.01.2008,-16.5
,13.01.2008,-12.9
,14.01.2008,-10.3
,15.01.2008,-12.0
,16.01.2008,-7.7
,17.01.2008,-8.1
,18.01.2008,-8.0
,19.01.2008,-6.8
,20.01.2008,-8.0
,21.01.2008,-9.0
,22.01.2008,-7.7
,23.01.2008,-10.7
,24.01.2008,-10.6
,25.01.2008,-8.9
,26.01.2008,-7.8
,27.01.2008,-9.7
,28.01.2008,-11.3
,29.01.2008,-11.3
,30.01.2008,-8.9
,31.01.2008,-9.7
,01.02.2008,-13.5
,02.02.2008,-14.8
,03.02.2008,-12.8
,04.02.2008,-11.8
,05.02.2008,-13.0
,06.02.2008,-12.6
,07.02.2008,-12.9
,08.02.2008,-15.3
,09.02.2008,-14.5
,10.02.2008,-14.5
,11.02.2008,-14.8
,12.02.2008,-12.1
,13.02.2008,-8.0
,14.02.2008,-6.3
,15.02.2008,-8.4
,16.02.2008,-8.9
,17.02.2008,-6.8
,18.02.2008,-5.9
,19.02.2008,-7.7
,20.02.2008,-6.7
,21.02.2008,-9.8
,22.02.2008,-10.5
,23.02.2008,-11.6
,24.02.2008,-10.9
,25.02.2008,-13.1
,26.02.2008,-11.1
,27.02.2008,-7.9
,28.02.2008,-8.5
,29.02.2008,-4.9
,01.03.2008,-6.4
,02.03.2008,-9.1
,03.03.2008,-5.2
,04.03.2008,-5.8
,05.03.2008,-7.9
,06.03.2008,-5.2
,07.03.2008,-5.4
,08.03.2008,-4.9
,09.03.2008,-5.8
,10.03.2008,-6.7
,11.03.2008,-3.4
,12.03.2008,-4.8
,13.03.2008,-4.3
,14.03.2008,-2.8
,15.03.2008,0.0
,16.03.2008,-3.0
,17.03.2008,-2.4
,18.03.2008,-2.1
,19.03.2008,-5.3
,20.03.2008,-6.4
,21.03.2008,-5.2
,22.03.2008,-1.3
,23.03.2008,-5.8
,24.03.2008,-6.2
,25.03.2008,-6.0
,26.03.2008,-3.1
,27.03.2008,-1.7
,28.03.2008,-2.8
,29.03.2008,-0.6
,30.03.2008,0.5
,31.03.2008,1.1
,01.04.2008,0.2
,02.04.2008,0.2
,03.04.2008,-1.7
,04.04.2008,-1.4
,05.04.2008,-0.2
,06.04.2008,3.4
,07.04.2008,-0.2
,08.04.2008,-2.9
,09.04.2008,-3.7
,10.04.2008,-3.0
,11.04.2008,-1.0
,12.04.2008,1.8
,13.04.2008,1.0
,14.04.2008,0.2
,15.04.2008,-0.3
,16.04.2008,-1.2
,17.04.2008,-1.5
,18.04.2008,-1.1
,19.04.2008,0.7
,20.04.2008,0.9
,21.04.2008,3.4
,22.04.2008,1.4
,23.04.2008,-0.5
,24.04.2008,1.2
,25.04.2008,1.9
,26.04.2008,2.9
,27.04.2008,1.7
,28.04.2008,0.9
,29.04.2008,2.8
,30.04.2008,0.6
,01.05.2008,0.4
,02.05.2008,-0.1
,03.05.2008,-0.4
,04.05.2008,3.5
,05.05.2008,1.4
,06.05.2008,2.3
,07.05.2008,2.6
,08.05.2008,1.8
,09.05.2008,3.5
,10.05.2008,3.9
,11.05.2008,2.8
,12.05.2008,2.9
,13.05.2008,3.4
,14.05.2008,5.0
,15.05.2008,5.6
,16.05.2008,5.8
,17.05.2008,7.2
,18.05.2008,8.1
,19.05.2008,7.4
,20.05.2008,5.9
,21.05.2008,6.5
,22.05.2008,7.8
,23.05.2008,8.9
,24.05.2008,8.3
,25.05.2008,8.0
,26.05.2008,9.7
,27.05.2008,8.6
,28.05.2008,7.9
,29.05.2008,8.5
,30.05.2008,8.0
,31.05.2008,6.3
,01.06.2008,8.5
,02.06.2008,8.4
,03.06.2008,8.7
,04.06.2008,9.7
,05.06.2008,11.4
,06.06.2008,10.0
,07.06.2008,10.4
,08.06.2008,10.4
,09.06.2008,10.4
,10.06.2008,10.3
,11.06.2008,9.7
,12.06.2008,10.2
,13.06.2008,9.6
,14.06.2008,10.3
,15.06.2008,10.2
,16.06.2008,12.0
,17.06.2008,11.0
,18.06.2008,10.8
,19.06.2008,12.9
,20.06.2008,13.6
,21.06.2008,12.8
,22.06.2008,10.4
,23.06.2008,11.1
,24.06.2008,13.6
,25.06.2008,15.0
,26.06.2008,13.8
,27.06.2008,13.1
,28.06.2008,12.8
,29.06.2008,11.9
,30.06.2008,12.9
,01.07.2008,13.0
,02.07.2008,14.7
,03.07.2008,14.2
,04.07.2008,12.2
,05.07.2008,14.5
,06.07.2008,14.1
,07.07.2008,13.8
,08.07.2008,13.6
,09.07.2008,13.0
,10.07.2008,13.4
,11.07.2008,13.1
,12.07.2008,13.2
,13.07.2008,13.4
,14.07.2008,14.7
,15.07.2008,15.0
,16.07.2008,13.3
,17.07.2008,15.1
,18.07.2008,14.5
,19.07.2008,13.9
,20.07.2008,14.1
,21.07.2008,14.6
,22.07.2008,14.7
,23.07.2008,14.2
,24.07.2008,14.8
,25.07.2008,14.2
,26.07.2008,14.5
,27.07.2008,13.6
,28.07.2008,14.5
,29.07.2008,13.7
,30.07.2008,13.3
,31.07.2008,13.0
