@T,climate
name,wind
desc,wind speed

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,m/s

@H,date,wind[0]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
y,-,4477675
,01.01.2008,1.46
,02.01.2008,1.62
,03.01.2008,1.50
,04.01.2008,1.38
,05.01.2008,1.33
,06.01.2008,1.85
,07.01.2008,1.30
,08.01.2008,1.03
,09.01.2008,1.46
,10.01.2008,1.96
,11.01.2008,2.96
,12.01.2008,2.23
,13.01.2008,1.81
,14.01.2008,1.84
,15.01.2008,1.00
,16.01.2008,2.42
,17.01.2008,1.74
,18.01.2008,2.05
,19.01.2008,2.05
,20.01.2008,2.74
,21.01.2008,1.92
,22.01.2008,3.52
,23.01.2008,1.59
,24.01.2008,3.11
,25.01.2008,1.94
,26.01.2008,2.11
,27.01.2008,2.22
,28.01.2008,1.99
,29.01.2008,1.90
,30.01.2008,1.74
,31.01.2008,2.47
,01.02.2008,2.76
,02.02.2008,1.43
,03.02.2008,2.29
,04.02.2008,2.22
,05.02.2008,2.14
,06.02.2008,2.40
,07.02.2008,1.58
,08.02.2008,2.13
,09.02.2008,2.11
,10.02.2008,2.24
,11.02.2008,1.40
,12.02.2008,1.43
,13.02.2008,2.30
,14.02.2008,2.74
,15.02.2008,1.80
,16.02.2008,1.96
,17.02.2008,3.36
,18.02.2008,3.08
,19.02.2008,2.37
,20.02.2008,4.66
,21.02.2008,2.64
,22.02.2008,2.46
,23.02.2008,3.08
,24.02.2008,3.19
,25.02.2008,2.85
,26.02.2008,3.91
,27.02.2008,2.81
,28.02.2008,2.02
,29.02.2008,2.50
,01.03.2008,2.18
,02.03.2008,1.48
,03.03.2008,1.79
,04.03.2008,2.95
,05.03.2008,1.91
,06.03.2008,2.60
,07.03.2008,2.66
,08.03.2008,2.15
,09.03.2008,4.11
,10.03.2008,3.00
,11.03.2008,3.92
,12.03.2008,2.37
,13.03.2008,2.10
,14.03.2008,2.32
,15.03.2008,2.11
,16.03.2008,2.42
,17.03.2008,3.28
,18.03.2008,4.13
,19.03.2008,3.48
,20.03.2008,2.63
,21.03.2008,2.73
,22.03.2008,3.73
,23.03.2008,3.51
,24.03.2008,2.54
,25.03.2008,1.99
,26.03.2008,2.68
,27.03.2008,4.08
,28.03.2008,2.03
,29.03.2008,1.96
,30.03.2008,2.26
,31.03.2008,3.20
,01.04.2008,3.42
,02.04.2008,5.03
,03.04.2008,4.03
,04.04.2008,2.09
,05.04.2008,3.00
,06.04.2008,4.29
,07.04.2008,2.98
,08.04.2008,2.93
,09.04.2008,4.37
,10.04.2008,3.34
,11.04.2008,3.58
,12.04.2008,3.06
,13.04.2008,4.01
,14.04.2008,5.19
,15.04.2008,5.06
,16.04.2008,3.27
,17.04.2008,2.44
,18.04.2008,2.75
,19.04.2008,3.06
,20.04.2008,2.44
,21.04.2008,2.84
,22.04.2008,4.42
,23.04.2008,3.65
,24.04.2008,3.72
,25.04.2008,2.70
,26.04.2008,3.14
,27.04.2008,4.30
,28.04.2008,3.29
,29.04.2008,3.59
,30.04.2008,3.99
,01.05.2008,2.73
,02.05.2008,2.65
,03.05.2008,2.48
,04.05.2008,4.02
,05.05.2008,3.57
,06.05.2008,3.36
,07.05.2008,2.55
,08.05.2008,2.43
,09.05.2008,2.76
,10.05.2008,3.38
,11.05.2008,3.85
,12.05.2008,2.75
,13.05.2008,1.59
,14.05.2008,2.04
,15.05.2008,2.62
,16.05.2008,2.73
,17.05.2008,2.32
,18.05.2008,3.46
,19.05.2008,3.29
,20.05.2008,2.84
,21.05.2008,3.04
,22.05.2008,3.03
,23.05.2008,3.76
,24.05.2008,2.78
,25.05.2008,3.28
,26.05.2008,3.27
,27.05.2008,2.43
,28.05.2008,2.78
,29.05.2008,2.82
,30.05.2008,3.25
,31.05.2008,2.54
,01.06.2008,2.98
,02.06.2008,2.41
,03.06.2008,2.12
,04.06.2008,2.66
,05.06.2008,3.35
,06.06.2008,2.41
,07.06.2008,3.18
,08.06.2008,3.18
,09.06.2008,2.04
,10.06.2008,2.75
,11.06.2008,3.33
,12.06.2008,2.62
,13.06.2008,2.55
,14.06.2008,2.15
,15.06.2008,2.36
,16.06.2008,2.91
,17.06.2008,2.24
,18.06.2008,2.28
,19.06.2008,2.86
,20.06.2008,2.84
,21.06.2008,2.58
,22.06.2008,2.04
,23.06.2008,2.15
,24.06.2008,2.07
,25.06.2008,2.23
,26.06.2008,2.01
,27.06.2008,2.11
,28.06.2008,2.00
,29.06.2008,1.66
,30.06.2008,2.26
,01.07.2008,2.14
,02.07.2008,2.25
,03.07.2008,1.84
,04.07.2008,2.02
,05.07.2008,1.61
,06.07.2008,2.23
,07.07.2008,1.91
,08.07.2008,1.58
,09.07.2008,1.53
,10.07.2008,1.87
,11.07.2008,1.88
,12.07.2008,1.78
,13.07.2008,1.58
,14.07.2008,1.89
,15.07.2008,1.69
,16.07.2008,2.09
,17.07.2008,1.96
,18.07.2008,1.93
,19.07.2008,1.64
,20.07.2008,1.68
,21.07.2008,1.58
,22.07.2008,1.69
,23.07.2008,1.67
,24.07.2008,2.09
,25.07.2008,2.00
,26.07.2008,1.36
,27.07.2008,1.83
,28.07.2008,1.59
,29.07.2008,1.74
,30.07.2008,1.13
,31.07.2008,1.60
,01.08.2008,1.35
,02.08.2008,1.52
,03.08.2008,1.77
,04.08.2008,1.32
,05.08.2008,1.68
,06.08.2008,1.76
,07.08.2008,1.55
,08.08.2008,1.54
