@T,crop_upgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desc,crop_upgm.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@H,CID,ac0nam,description,acdpop,acdmaxshoot,acbaflg,acytgt,acbaf,acyraf,achyfg,acynmu,acywct,acycon,ac0idc,acgrf,ac0ck,acehu0,aczmxc,ac0growdepth,aczmrt,actmin,actopt,acthudf,actdtm,acthum,ac0fd1[0],ac0fd2[0],ac0fd1[1],ac0fd2[1],actverndel,ac0bceff,ac0alf,ac0blf,ac0clf,ac0dlf,ac0arp,ac0brp,ac0crp,ac0drp,ac0aht,ac0bht,ac0ssa,ac0ssb,ac0sla,ac0hue,ac0transf,ac0diammax,ac0storeinit,ac0shoot,acfleafstem,acfshoot,acfleaf2stor,acfstem2stor,acfstor2stor,acrbc,acdkrate[0],acdkrate[1],acdkrate[2],acdkrate[3],acdkrate[4],acxstm,acddsthrsh,accovfact,acresevapa,acresevapb,acyld_coef,acresid_int,canopyflg,emrgflg,phenolflg,seedbed,soilwat[1],wfpslo[1],wfpsup[1],germgdd[1],ergdd[1],soilwat[2],wfpslo[2],wfpsup[2],germgdd[2],ergdd[2],soilwat[3],wfpslo[3],wfpsup[3],germgdd[3],ergdd[3],soilwat[4],wfpslo[4],wfpsup[4],germgdd[4],ergdd[4],pchron,tbase,toptlo,toptup,tupper,gmethod,maxht,ecanht,growth_stress,dummy1[1],dummy2[1],dummy1[2],dummy2[2],dummy1[3],dummy2[3],dummy1[4],dummy2[4],dummy1[5],dummy2[5],dummy1[6],dummy2[6],dummy1[7],dummy2[7],dummy1[8],dummy2[8],dummy1[9],dummy2[9],dummy1[10],dummy2[10],dummy1[11],dummy2[11],dummy1[12],dummy2[12],dummy1[13],dummy2[13],dummy1[14],dummy2[14],dummy1[15],dummy2[15],dummy1[16],dummy2[16],dummy1[17],dummy2[17],dummy1[18],dummy2[18],dummy1[19],dummy2[19],dummy1[20],dummy2[20],dummy1[21],dummy2[21],dummy1[22],dummy2[22],dummy1[23],dummy2[23],dummy1[24],dummy2[24],dummy1[25],dummy2[25],dummy1[26],dummy2[26],dummy1[27],dummy2[27],dummy1[28],dummy2[28],dummy1[29],dummy2[29],dummy1[30],dummy2[30]
,19,corn,corn-grain-110-days-generic,6,1,0,120,1,1,1,bu/ac,12.9,159.4,4,0.8,0.65,0.8,2.5,0.05,2,10,30,1,110,1550,-5,-15,0.01,0.95,0,40,0.0031,0.9233,0.3266,-0.044,0,0.976,0.511,0.0287,0.3266,-0.044,0.22259772,0.72,17.4,0.05,0,0.9,333.33334,333.33334,3,0.03,0,0,0,3,0.01,0.01,0.01,0.01,0.153,0.01,20,3,-1.20379,0.604887,0,0,0,0,0,Optimum,Optimum,45,100,30,1.3,Medium,35,45,60,1.1,Dry,25,35,90,1,Planted-in-dust,0,25,500,0,35,10,25,30,40,2,260,15,3,GN,25,GN,140,GN,70,GN,75,GN,80,GN,280,GN,350,GN,350,GN,165,GN,110,GN,80,GN,165,GN,200,GN,100,GN,0,GS,55,GS,140,GS,70,GS,75,GS,80,GS,280,GS,400,GS,450,GS,149,GS,99,GS,72,GS,140,GS,150,GS,80,GS,0
,23,sorghum,sorghum-grain-110-days-generic,15,3,0,60,1,1,0,bu/ac,14,162.2,4,0.8,0.46,0.8,1.5,0.025,1.5240185,10,27.5,1,110,1500,-5,-15,0.01,0.95,0,35,-0.0302,0.9263,0.3728,-0.065,-0.018,1.015,0.5224,0.039,0.3728,-0.065,0.03985145,0.42,19.2,0.05,0,0.7,30.30303,30.30303,3,0.03,0.1,0.1,0,3,0.01,0.01,0.01,0.01,0.153,0.01,20,2.9797485,-1.20379,0.604887,0,0,1,1,1,Optimum            ,Optimum,45,100,40,1.5,Medium             ,35,45,50,1,Dry                ,25,35,70,0.6,Planted-in-dust,0,25,500,0,45,10,25,30,40,2,150,8,3,GN,100,GN,135,GN,499,GN,45,GN,450,GN,184,GN,80,GN,80,GN,120,GN,525,GN,300,GN,0,GN,0,GN,0,GN,0,GS,100,GS,135,GS,499,GS,45,GS,450,GS,184,GS,97,GS,97,GS,145,GS,486,GS,225,GS,0,GS,0,GS,0,GS,0
,27,wheatspring,wheat-spring-generic,220,8,0,30,1,1,1,bu/ac,10.9,148.833,4,0.8,0.6,0.8,1,0.025,2,0,25,1,110,1800,-5,-15,0.005,0.05,0,30,0.013,0.8013,0.4293,-0.086,-0.018,0.932,0.556,0.0736,0.4293,-0.086,2.87,1,20,0.05,0,0.3,28.571428,335,1.4,0.012,0.1,0.1,0,2,0.0133,0.0133,0.0133,0.0133,0.12,0.005,17.1,6.5,-2.08165,0.548606,0,0,1,1,1,Optimum,Optimum,45,100,80,0.5,Medium,35,45,90,0.4,Dry,25,35,110,0.33,Planted-in-dust,0,25,700,0,80,0,18,22,40,1,100,8,3,GN,100,GN,155,GN,260,GN,125,GN,160,GN,40,GN,135,GN,140,GN,105,GN,700,GN,200,GN,0,GN,0,GN,0,GN,0,GS,150,GS,155,GS,260,GS,125,GS,160,GS,40,GS,125,GS,125,GS,90,GS,550,GS,125,GS,0,GS,0,GS,0,GS,0
,28,wheatwinter,wheat-winter-hard-generic,220,8,0,40,1,1,1,bu/ac,10.9,148.833,5,0.8,0.6,0.8,1.2,0.025,2,0,25,1,270,1800,-5,-15,0.005,0.05,0.035,30,0.013,0.8013,0.4293,-0.086,-0.018,0.932,0.556,0.0736,0.3293,-0.086,2.87,1,20,0.05,0,0.3,28.571428,335,1.4,0.012,0.1,0.1,0,2,0.0133,0.0133,0.0133,0.0133,0.12,0.005,17.1,6.5,-2.08165,0.548606,0,0,0,0,0,Optimum,Optimum,45,100,80,0.5,Medium,35,45,90,0.4,Dry,25,35,110,0.33,Planted-in-dust,0,25,700,0,105,0,18,22,40,1,160,8,3,GN,100,GN,200,GN,180,GN,125,GN,150,GN,30,GN,160,GN,145,GN,145,GN,735,GN,200,GN,0,GN,0,GN,0,GN,0,GS,150,GS,200,GS,180,GS,125,GS,145,GS,40,GS,118,GS,107,GS,131,GS,650,GS,125,GS,0,GS,0,GS,0,GS,0
,31,barleyspring,barley-spring-generic,173,8,0,55,1,1,1,bu/ac,9.6,186,4,0.8,0.64,0.8,1,0.025,2,4,25,1,75,1750,-5,-15,0.001,0.01,0,30,0.013,0.6013,0.4293,-0.086,-0.018,0.932,0.556,0.0736,0.4293,-0.086,2.5,1,25,0.05,0,0.3,33.333332,385,1.4,0.012,0,0,0,2,0.015,0.015,0.015,0.015,0.18,0.005,17.1,5.183335,-2.08165,0.548606,0,0,1,1,1,Optimum,Optimum,45,100,80,0.5,Medium,35,45,90,0.4,Dry,25,35,110,0.33,Planted-in-dust,0,25,700,0,105,0,18,22,40,1,90,8,3,GN,100,GN,170,GN,110,GN,100,GN,85,GN,125,GN,85,GN,75,GN,500,GN,800,GN,200,GN,0,GN,0,GN,0,GN,0,GS,150,GS,170,GS,110,GS,100,GS,85,GS,80,GS,80,GS,60,GS,400,GS,640,GS,125,GS,0,GS,0,GS,0,GS,0
//,901,milletprosograin,proso-millet-generic,370,5,0,30,1,1,1,bu/ac,9.8,159.464,4,0.8,0.46,0.8,1,0.025,1.5,10,27.5,1,75,900,-5,-15,0.01,0.95,0,25,-0.0302,0.9263,0.4728,-0.065,-0.018,1.015,0.5224,0.039,0.4728,-0.065,0.03985145,0.42,18,0.05,0,0.3,5.5555553,13,3,0.03,0.01,0,0,2,0.01,0.01,0.01,0.01,0.153,0.01,20,3,-1.20379,0.604887,0,0,1,1,1,Optimum,Optimum,45,100,80,0.5,Medium,35,45,90,0.4,Dry,25,35,110,0.33,Planted-in-dust,0,25,700,0,105,0,20,24,40,1,90,8,3,GN,100,GN,170,GN,120,GN,100,GN,120,GN,95,GN,200,GN,308,GN,180,GN,800,GN,200,GN,0,GN,0,GN,0,GN,0,GS,150,GS,170,GS,120,GS,100,GS,120,GS,95,GS,200,GS,280,GS,150,GS,640,GS,125,GS,0,GS,0,GS,0,GS,0
//,903,milletfoxtailseed,hay-millet-generic,370,5,0,30,1,1,0,bu/ac,10.1,178.6,4,0.8,0.46,0.8,0.9,0.025,2,10,27.5,1,100,900,-5,-15,0.01,0.95,0,45,-0.0302,0.9263,0.4728,-0.065,-0.018,1.015,0.5224,0.039,0.4728,-0.065,0.03985145,0.42,13.4,0.05,0,0.3,2.1276596,13,3,0.03,0,0,0,2,0.01,0.01,0.01,0.01,0.153,0.01,20,5.227942,-1.20379,0.604887,0,0,1,1,1,Optimum            ,Optimum,45,100,80,0.5,Medium             ,35,45,90,0.4,Dry                ,25,35,110,0.33,Planted-in-dust,0,25,700,0,105,0,20,24,40,1,90,8,3,GN,100,GN,170,GN,110,GN,100,GN,85,GN,125,GN,85,GN,75,GN,500,GN,800,GN,200,GN,0,GN,0,GN,0,GN,0,GS,150,GS,170,GS,110,GS,100,GS,85,GS,80,GS,80,GS,60,GS,400,GS,640,GS,125,GS,0,GS,0,GS,0,GS,0
,56,soybean,soybean-MG-III-120-days,27,1,0,30,1,1,1,bu/ac,8,148.833,1,0.8,0.65,0.8,1.5,0.05,2,10,25,1,120,1600,-5,-15,0.01,0.95,0,25,0.023,0.8063,0.4146,-0.061,-0.024,0.9911,0.6435,0.0494,0.4146,-0.061,2.83,1,26,0.05,0,0.5,111.111115,111.111115,1.5,0.015,0,0,0,1,0.03,0.03,0.03,0.03,0.2,0.01,20,2.7,-1.20379,0.604887,0,0,1,1,1,Optimum,Optimum,45,100,80,0.5,Medium,35,45,90,0.4,Dry,25,35,110,0.33,Planted-in-dust,0,25,700,0,105,0,18,22,40,1,90,8,3,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GN,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0,GS,0
,74,sunflower,sunflower-generic,5,1,0,1400,1,1,0,lb/ac,10,8930,4,0.8,0.9,0.8,2.5,0.025,2,6,25,1,115,1500,-5,-15,0.15,0.95,0,40,0.023,0.8063,0.3146,-0.061,-0.024,0.9911,0.6435,0.0494,0.3146,-0.061,0.13925274,0.68,17.3,0.05,0,0.8,76.92308,76.92308,2,0.03,0,0,0,2,0.025,0.025,0.025,0.025,0.15,0.02,20,1.97163,-0.604267,0.711259,0,0,1,1,1,Optimum            ,Optimum,45,100,40,1.5,Medium             ,35,45,50,1,Dry                ,25,35,70,0.6,Planted-in-dust,0,25,500,0,30,7,24,30,40,2,190,15,3,GN,40,GN,120,GN,120,GN,120,GN,100,GN,110,GN,110,GN,60,GN,35,GN,175,GN,95,GN,80,GN,95,GN,135,GN,0,GS,40,GS,120,GS,120,GS,120,GS,110,GS,100,GS,100,GS,50,GS,25,GS,165,GS,85,GS,70,GS,85,GS,100,GS,0
,97,barleywinter,barley-winter-generic,173,8,0,50,1,1,0,bu/ac,9.6,186,5,0.8,0.64,0.8,1,0.025,2,4,25,1,270,1333.3334,-5,-15,0.005,0.05,0.02,30,0.013,0.6013,0.4293,-0.086,-0.018,0.932,0.556,0.0736,0.4293,-0.086,2.5,1,25,0.05,0,0.3,33.333332,385,1.4,0.012,0.1,0.1,0,2,0.015,0.015,0.015,0.015,0.18,0.005,17.1,5.183335,-2.08165,0.548606,0,0,1,1,1,Optimum            ,Optimum,45,100,80,0.5,Medium             ,35,45,90,0.4,Dry                ,25,35,110,0.33,Planted-in-dust,0,25,700,0,105,0,18,22,40,1,90,8,3,GN,100,GN,200,GN,180,GN,125,GN,150,GN,105,GN,210,GN,140,GN,75,GN,800,GN,200,GN,0,GN,0,GN,0,GN,0,GS,150,GS,200,GS,175,GS,120,GS,145,GS,100,GS,160,GS,130,GS,65,GS,640,GS,125,GS,0,GS,0,GS,0,GS,0
