@T,climate,,,,,,,,,,,,,,,,,
descr,relative humidity,,,,,,,,,,,,,,,,,
unit,%,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
 date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,rehum[0],rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9],rehum[10],rehum[11],rehum[12],rehum[13],rehum[14],rehum[15],rehum[16]
name,,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,01.01.1918,-9999,-9999,-9999,-9999,-9999,48.31,56.6,-9999,-9999,-9999,64.81,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1918,-9999,-9999,-9999,-9999,-9999,59.51,51.2,-9999,-9999,-9999,61.76,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1918,-9999,-9999,-9999,-9999,-9999,42.17,53.9,-9999,-9999,-9999,61.51,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1918,-9999,-9999,-9999,-9999,-9999,51.01,56.1,-9999,-9999,-9999,66.89,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1918,-9999,-9999,-9999,-9999,-9999,65.71,53.9,-9999,-9999,-9999,62.67,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1918,-9999,-9999,-9999,-9999,-9999,75.64,55.6,-9999,-9999,-9999,62.96,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1918,-9999,-9999,-9999,-9999,-9999,30.81,53.3,-9999,-9999,-9999,62.87,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1918,-9999,-9999,-9999,-9999,-9999,73.02,51.7,-9999,-9999,-9999,57.16,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1918,-9999,-9999,-9999,-9999,-9999,64.2,55.1,-9999,-9999,-9999,63.91,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1918,-9999,-9999,-9999,-9999,-9999,42.91,54.5,-9999,-9999,-9999,62.84,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1918,-9999,-9999,-9999,-9999,-9999,62.52,54.2,-9999,-9999,-9999,62.46,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1918,-9999,-9999,-9999,-9999,-9999,60.56,52.5,-9999,-9999,-9999,60.06,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1918,-9999,-9999,-9999,-9999,-9999,47.12,50.8,-9999,-9999,-9999,57.36,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1918,-9999,-9999,-9999,-9999,-9999,59.61,53.9,-9999,-9999,-9999,61.03,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1918,-9999,-9999,-9999,-9999,-9999,59.61,53.3,-9999,-9999,-9999,57.91,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1918,-9999,-9999,-9999,-9999,-9999,83.14,53,-9999,-9999,-9999,58.66,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1918,-9999,-9999,-9999,-9999,-9999,61.01,53.6,-9999,-9999,-9999,58.57,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1918,-9999,-9999,-9999,-9999,-9999,55.13,55.4,-9999,-9999,-9999,53.73,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1918,-9999,-9999,-9999,-9999,-9999,74.41,54,-9999,-9999,-9999,57.4,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1918,-9999,-9999,-9999,-9999,-9999,43.53,52.5,-9999,-9999,-9999,52.83,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1918,-9999,-9999,-9999,-9999,-9999,45.45,50.5,-9999,-9999,-9999,54.61,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1918,-9999,-9999,-9999,-9999,-9999,35.9,51.3,-9999,-9999,-9999,58.59,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1918,-9999,-9999,-9999,-9999,-9999,47.53,51.6,-9999,-9999,-9999,61.13,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1918,-9999,-9999,-9999,-9999,-9999,48.69,53.5,-9999,-9999,-9999,56.71,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1918,-9999,-9999,-9999,-9999,-9999,42.35,52.7,-9999,-9999,-9999,58.88,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1918,-9999,-9999,-9999,-9999,-9999,25.82,51.8,-9999,-9999,-9999,60.14,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1918,-9999,-9999,-9999,-9999,-9999,66.83,51.3,-9999,-9999,-9999,64.7,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1918,-9999,-9999,-9999,-9999,-9999,47.12,51.3,-9999,-9999,-9999,66.25,-9999,-9999,-9999,-9999,-9999,-9999
,29.01.1918,-9999,-9999,-9999,-9999,-9999,39.85,54.3,-9999,-9999,-9999,64.52,-9999,-9999,-9999,-9999,-9999,-9999
,30.01.1918,-9999,-9999,-9999,-9999,-9999,22.11,51.8,-9999,-9999,-9999,62.97,-9999,-9999,-9999,-9999,-9999,-9999
,31.01.1918,-9999,-9999,-9999,-9999,-9999,62.34,53.5,-9999,-9999,-9999,61.57,-9999,-9999,-9999,-9999,-9999,-9999
,01.02.1918,-9999,-9999,-9999,-9999,-9999,19.06,52.2,-9999,-9999,-9999,56.59,-9999,-9999,-9999,-9999,-9999,-9999
,02.02.1918,-9999,-9999,-9999,-9999,-9999,50.81,53,-9999,-9999,-9999,56.73,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1918,-9999,-9999,-9999,-9999,-9999,41.08,54.7,-9999,-9999,-9999,58.46,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1918,-9999,-9999,-9999,-9999,-9999,40.13,54.9,-9999,-9999,-9999,66.29,-9999,-9999,-9999,-9999,-9999,-9999
