@T,climate 
name,solrad

missing_val,-9999
date_start,01.01.1918
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,MJ_m2

@H,date,solrad[0],solrad[1],solrad[2],solrad[3],solrad[4],solrad[5],solrad[6],solrad[7],solrad[8],solrad[9],solrad[10],solrad[11],solrad[12],solrad[13],solrad[14],solrad[15],solrad[16]
name,-,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,-,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,-,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,-,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,01.01.1918,-9999,-9999,-9999,-9999,-9999,9.2,8.54,-9999,-9999,-9999,7.35,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1918,-9999,-9999,-9999,-9999,-9999,9.7,8.26,-9999,-9999,-9999,7.75,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1918,-9999,-9999,-9999,-9999,-9999,10.4,8.48,-9999,-9999,-9999,6.63,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1918,-9999,-9999,-9999,-9999,-9999,9.1,8.72,-9999,-9999,-9999,6.7,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1918,-9999,-9999,-9999,-9999,-9999,10,8.48,-9999,-9999,-9999,6.47,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1918,-9999,-9999,-9999,-9999,-9999,4.5,8.63,-9999,-9999,-9999,7.94,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1918,-9999,-9999,-9999,-9999,-9999,10.5,8.76,-9999,-9999,-9999,7.35,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1918,-9999,-9999,-9999,-9999,-9999,10.2,8.56,-9999,-9999,-9999,7.88,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1918,-9999,-9999,-9999,-9999,-9999,10.3,8.51,-9999,-9999,-9999,7.05,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1918,-9999,-9999,-9999,-9999,-9999,10.3,8.49,-9999,-9999,-9999,7.22,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1918,-9999,-9999,-9999,-9999,-9999,8.9,8.5,-9999,-9999,-9999,6.55,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1918,-9999,-9999,-9999,-9999,-9999,8.5,8.72,-9999,-9999,-9999,8.29,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1918,-9999,-9999,-9999,-9999,-9999,7.3,8.6,-9999,-9999,-9999,7.92,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1918,-9999,-9999,-9999,-9999,-9999,8.4,8.76,-9999,-9999,-9999,8.27,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1918,-9999,-9999,-9999,-9999,-9999,10.9,8.72,-9999,-9999,-9999,7.73,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1918,-9999,-9999,-9999,-9999,-9999,8.8,8.87,-9999,-9999,-9999,7.8,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1918,-9999,-9999,-9999,-9999,-9999,10.9,8.66,-9999,-9999,-9999,8.23,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1918,-9999,-9999,-9999,-9999,-9999,5,9.05,-9999,-9999,-9999,8.37,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1918,-9999,-9999,-9999,-9999,-9999,10,8.73,-9999,-9999,-9999,8.56,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1918,-9999,-9999,-9999,-9999,-9999,11,8.77,-9999,-9999,-9999,9.01,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1918,-9999,-9999,-9999,-9999,-9999,9.8,8.94,-9999,-9999,-9999,8.93,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1918,-9999,-9999,-9999,-9999,-9999,9.8,9.3,-9999,-9999,-9999,8.45,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1918,-9999,-9999,-9999,-9999,-9999,8.5,8.81,-9999,-9999,-9999,9.33,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1918,-9999,-9999,-9999,-9999,-9999,10.6,8.98,-9999,-9999,-9999,9.23,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1918,-9999,-9999,-9999,-9999,-9999,4.5,9.08,-9999,-9999,-9999,8.25,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1918,-9999,-9999,-9999,-9999,-9999,9.1,8.96,-9999,-9999,-9999,8.95,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1918,-9999,-9999,-9999,-9999,-9999,7.4,9.04,-9999,-9999,-9999,8.48,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1918,-9999,-9999,-9999,-9999,-9999,11.8,8.91,-9999,-9999,-9999,8.31,-9999,-9999,-9999,-9999,-9999,-9999
,29.01.1918,-9999,-9999,-9999,-9999,-9999,8.6,9.1,-9999,-9999,-9999,9.84,-9999,-9999,-9999,-9999,-9999,-9999
,30.01.1918,-9999,-9999,-9999,-9999,-9999,7.9,8.82,-9999,-9999,-9999,8.71,-9999,-9999,-9999,-9999,-9999,-9999
,31.01.1918,-9999,-9999,-9999,-9999,-9999,9.3,9.27,-9999,-9999,-9999,8.98,-9999,-9999,-9999,-9999,-9999,-9999
,01.02.1918,-9999,-9999,-9999,-9999,-9999,8.9,10.96,-9999,-9999,-9999,9.8,-9999,-9999,-9999,-9999,-9999,-9999
,02.02.1918,-9999,-9999,-9999,-9999,-9999,12.6,11.25,-9999,-9999,-9999,10.11,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1918,-9999,-9999,-9999,-9999,-9999,11.3,10.49,-9999,-9999,-9999,10.08,-9999,-9999,-9999,-9999,-9999,-9999
,04.02.1918,-9999,-9999,-9999,-9999,-9999,12.9,11,-9999,-9999,-9999,9.63,-9999,-9999,-9999,-9999,-9999,-9999
,05.02.1918,-9999,-9999,-9999,-9999,-9999,8.6,11.42,-9999,-9999,-9999,9.94,-9999,-9999,-9999,-9999,-9999,-9999
