@T,climate,,,,,,,,,,,,,,,,,
name,tmax,,,,,,,,,,,,,,,,,
descr,max temperature,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,,
unit,C,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,tmax[0],tmax[1],tmax[2],tmax[3],tmax[4],tmax[5],tmax[6],tmax[7],tmax[8],tmax[9],tmax[10],tmax[11],tmax[12],tmax[13],tmax[14],tmax[15],tmax[16]
name,-,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,-,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,-,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,-,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,01.01.1918,-9999,-9999,-9999,-9999,-9999,16.1,2.7,-9999,-9999,18.3,3.4,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1918,-9999,-9999,-9999,-9999,-9999,15.6,3.5,-9999,-9999,17.2,5,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1918,-9999,-9999,-9999,-9999,-9999,16.7,2.8,-9999,-9999,18.9,4.4,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1918,-9999,-9999,-9999,-9999,-9999,11.1,2.8,-9999,-9999,12.8,4.3,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1918,-9999,-9999,-9999,-9999,-9999,5,3.4,-9999,-9999,8.9,4,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1918,-9999,-9999,-9999,-9999,-9999,1.7,3.3,-9999,-9999,3.9,4.7,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1918,-9999,-9999,-9999,-9999,-9999,8.9,2.9,-9999,-9999,3.3,5.1,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1918,-9999,-9999,-9999,-9999,-9999,5.6,4.5,-9999,-9999,7.8,6.8,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1918,-9999,-9999,-9999,-9999,-9999,2.8,3.3,-9999,-9999,1.1,4.4,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1918,-9999,-9999,-9999,-9999,-9999,-18.9,3.5,-9999,-9999,-17.8,5.2,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1918,-9999,-9999,-9999,-9999,-9999,-20,3.7,-9999,-9999,-16.7,5,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1918,-9999,-9999,-9999,-9999,-9999,-6.7,3.7,-9999,-9999,-7.8,4.7,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1918,-9999,-9999,-9999,-9999,-9999,-1.1,4.2,-9999,-9999,1.1,6.7,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1918,-9999,-9999,-9999,-9999,-9999,-2.2,4.3,-9999,-9999,-0.6,7.7,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1918,-9999,-9999,-9999,-9999,-9999,-1.7,4.4,-9999,-9999,2.8,9.1,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1918,-9999,-9999,-9999,-9999,-9999,-6.7,3.6,-9999,-9999,-0.6,8.3,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1918,-9999,-9999,-9999,-9999,-9999,-3.3,3.9,-9999,-9999,2.8,8.7,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1918,-9999,-9999,-9999,-9999,-9999,-3.3,3.4,-9999,-9999,-0.6,9.8,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1918,-9999,-9999,-9999,-9999,-9999,-12.2,3.6,-9999,-9999,-6.7,10.9,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1918,-9999,-9999,-9999,-9999,-9999,-8.3,2.8,-9999,-9999,-2.2,10.3,-9999,-9999,-9999,-9999,-9999,-9999
,21.01.1918,-9999,-9999,-9999,-9999,-9999,-5,4.2,-9999,-9999,-2.2,11,-9999,-9999,-9999,-9999,-9999,-9999
,22.01.1918,-9999,-9999,-9999,-9999,-9999,-1.1,4.4,-9999,-9999,-0.6,9.6,-9999,-9999,-9999,-9999,-9999,-9999
,23.01.1918,-9999,-9999,-9999,-9999,-9999,1.7,4.4,-9999,-9999,6.1,9.5,-9999,-9999,-9999,-9999,-9999,-9999
,24.01.1918,-9999,-9999,-9999,-9999,-9999,7.8,4.5,-9999,-9999,12.2,10.5,-9999,-9999,-9999,-9999,-9999,-9999
,25.01.1918,-9999,-9999,-9999,-9999,-9999,10,4.4,-9999,-9999,12.2,9.3,-9999,-9999,-9999,-9999,-9999,-9999
,26.01.1918,-9999,-9999,-9999,-9999,-9999,-16.1,3.7,-9999,-9999,-8.3,9.9,-9999,-9999,-9999,-9999,-9999,-9999
,27.01.1918,-9999,-9999,-9999,-9999,-9999,-10.6,4.5,-9999,-9999,-6.7,8.4,-9999,-9999,-9999,-9999,-9999,-9999
,28.01.1918,-9999,-9999,-9999,-9999,-9999,-4.4,4.5,-9999,-9999,-1.1,7.6,-9999,-9999,-9999,-9999,-9999,-9999
,29.01.1918,-9999,-9999,-9999,-9999,-9999,3.9,3.8,-9999,-9999,7.8,7.6,-9999,-9999,-9999,-9999,-9999,-9999
,30.01.1918,-9999,-9999,-9999,-9999,-9999,-21.7,3.4,-9999,-9999,-14.4,8.3,-9999,-9999,-9999,-9999,-9999,-9999
,31.01.1918,-9999,-9999,-9999,-9999,-9999,-16.1,3.7,-9999,-9999,-17.8,8.3,-9999,-9999,-9999,-9999,-9999,-9999
,01.02.1918,-9999,-9999,-9999,-9999,-9999,-2.2,4.9,-9999,-9999,2.8,8.3,-9999,-9999,-9999,-9999,-9999,-9999
,02.02.1918,-9999,-9999,-9999,-9999,-9999,0.6,4.8,-9999,-9999,3.3,8.5,-9999,-9999,-9999,-9999,-9999,-9999
,03.02.1918,-9999,-9999,-9999,-9999,-9999,2.8,4.7,-9999,-9999,7.2,8.1,-9999,-9999,-9999,-9999,-9999,-9999
