@T,climate,,,,,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12],wind[13],wind[14],wind[15],wind[16]
name,-,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,-,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,-,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,-,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,01.01.1918,-9999,-9999,-9999,-9999,-9999,6.5,5.22,-9999,-9999,-9999,1.64,-9999,-9999,-9999,-9999,-9999,-9999
,02.01.1918,-9999,-9999,-9999,-9999,-9999,5.9,4.85,-9999,-9999,-9999,1.57,-9999,-9999,-9999,-9999,-9999,-9999
,03.01.1918,-9999,-9999,-9999,-9999,-9999,4.6,5.38,-9999,-9999,-9999,2.35,-9999,-9999,-9999,-9999,-9999,-9999
,04.01.1918,-9999,-9999,-9999,-9999,-9999,7.2,4.67,-9999,-9999,-9999,1.56,-9999,-9999,-9999,-9999,-9999,-9999
,05.01.1918,-9999,-9999,-9999,-9999,-9999,4.5,5.3,-9999,-9999,-9999,1.9,-9999,-9999,-9999,-9999,-9999,-9999
,06.01.1918,-9999,-9999,-9999,-9999,-9999,6.2,5.2,-9999,-9999,-9999,1.68,-9999,-9999,-9999,-9999,-9999,-9999
,07.01.1918,-9999,-9999,-9999,-9999,-9999,3.7,5.45,-9999,-9999,-9999,1.87,-9999,-9999,-9999,-9999,-9999,-9999
,08.01.1918,-9999,-9999,-9999,-9999,-9999,3.2,4.91,-9999,-9999,-9999,1.68,-9999,-9999,-9999,-9999,-9999,-9999
,09.01.1918,-9999,-9999,-9999,-9999,-9999,8.2,5.06,-9999,-9999,-9999,1.61,-9999,-9999,-9999,-9999,-9999,-9999
,10.01.1918,-9999,-9999,-9999,-9999,-9999,5,5.11,-9999,-9999,-9999,1.67,-9999,-9999,-9999,-9999,-9999,-9999
,11.01.1918,-9999,-9999,-9999,-9999,-9999,0,4.88,-9999,-9999,-9999,1.81,-9999,-9999,-9999,-9999,-9999,-9999
,12.01.1918,-9999,-9999,-9999,-9999,-9999,4.5,5.03,-9999,-9999,-9999,2.2,-9999,-9999,-9999,-9999,-9999,-9999
,13.01.1918,-9999,-9999,-9999,-9999,-9999,9.7,4.83,-9999,-9999,-9999,2.38,-9999,-9999,-9999,-9999,-9999,-9999
,14.01.1918,-9999,-9999,-9999,-9999,-9999,4.8,5.36,-9999,-9999,-9999,1.57,-9999,-9999,-9999,-9999,-9999,-9999
,15.01.1918,-9999,-9999,-9999,-9999,-9999,5.1,5.28,-9999,-9999,-9999,2.03,-9999,-9999,-9999,-9999,-9999,-9999
,16.01.1918,-9999,-9999,-9999,-9999,-9999,4.7,5.19,-9999,-9999,-9999,2.22,-9999,-9999,-9999,-9999,-9999,-9999
,17.01.1918,-9999,-9999,-9999,-9999,-9999,3.6,4.87,-9999,-9999,-9999,2.11,-9999,-9999,-9999,-9999,-9999,-9999
,18.01.1918,-9999,-9999,-9999,-9999,-9999,12.1,5.03,-9999,-9999,-9999,2.52,-9999,-9999,-9999,-9999,-9999,-9999
,19.01.1918,-9999,-9999,-9999,-9999,-9999,5,4.75,-9999,-9999,-9999,2,-9999,-9999,-9999,-9999,-9999,-9999
,20.01.1918,-9999,-9999,-9999,-9999,-9999,1.4,5.06,-9999,-9999,-9999,1.95,-9999,-9999,-9999,-9999,-9999,-9999
