Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
30/01/2002 23:00,12.090290,234.043223,0.209453,173.084917,118.800073,0.402460,1.000000
31/01/2002 23:00,12.328556,234.194972,0.213517,173.874167,117.399735,0.390257,1.000000
01/02/2002 23:00,12.568788,234.352680,0.217612,147.278833,117.109445,0.382081,1.000000
02/02/2002 23:00,12.810869,234.516324,0.221733,175.548333,119.904834,0.384046,1.000000
03/02/2002 23:00,13.054678,234.685881,0.225881,172.247833,126.031517,0.396382,1.000000
04/02/2002 23:00,13.300100,234.861324,0.230051,179.733750,129.577662,0.400276,1.000000
05/02/2002 23:00,13.547016,235.042625,0.234243,184.206167,135.259172,0.410486,1.000000
06/02/2002 23:00,13.795309,235.229751,0.238454,114.249917,140.704980,0.419616,1.000000
07/02/2002 23:00,14.044864,235.422668,0.242682,79.355500,143.443114,0.420476,0.775758
08/02/2002 23:00,14.295567,235.621339,0.246924,91.935667,141.404838,0.407525,0.914241
09/02/2002 23:00,14.547304,235.825725,0.251179,190.424500,157.170850,0.445452,1.000000
10/02/2002 23:00,14.799962,236.035781,0.255445,103.822250,155.647345,0.433930,0.969018
11/02/2002 23:00,15.053432,236.251463,0.259720,108.366417,151.768095,0.416310,1.000000
12/02/2002 23:00,15.307602,236.472721,0.264001,192.911833,157.358503,0.424810,1.000000
13/02/2002 23:00,15.562367,236.699505,0.268287,47.355000,160.234135,0.425832,0.438995
14/02/2002 23:00,15.817619,236.931759,0.272576,200.589083,168.349204,0.440538,1.000000
15/02/2002 23:00,16.073254,237.169425,0.276866,195.351333,180.382735,0.464905,1.000000
16/02/2002 23:00,16.329171,237.412444,0.281155,192.577000,174.894236,0.444070,1.000000
17/02/2002 23:00,16.585269,237.660752,0.285442,137.377333,162.378513,0.406274,1.000000
18/02/2002 23:00,16.841450,237.914280,0.289724,186.023833,173.475206,0.427809,1.000000
19/02/2002 23:00,17.097619,238.172960,0.294001,174.352500,175.806483,0.427441,1.000000
20/02/2002 23:00,17.353682,238.436717,0.298269,212.260417,187.089430,0.448565,1.000000
21/02/2002 23:00,17.609548,238.705476,0.302529,132.546167,194.335924,0.459588,1.000000
22/02/2002 23:00,17.865129,238.979158,0.306777,146.728750,195.876079,0.457027,1.000000
23/02/2002 23:00,18.120339,239.257678,0.311014,161.676667,183.226577,0.421887,1.000000
24/02/2002 23:00,18.375095,239.540952,0.315237,180.092500,217.741162,0.494878,1.000000
25/02/2002 23:00,18.629316,239.828890,0.319444,228.452000,224.682846,0.504171,1.000000
26/02/2002 23:00,18.882925,240.121400,0.323635,164.451000,216.532456,0.479824,1.000000
27/02/2002 23:00,19.135848,240.418387,0.327809,192.337833,208.622302,0.456635,1.000000
28/02/2002 23:00,19.388012,240.719753,0.331964,143.404333,229.277566,0.495812,1.000000
01/03/2002 23:00,19.639348,241.025395,0.336098,233.283167,246.523705,0.526814,1.000000
02/03/2002 23:00,19.889791,241.335210,0.340212,242.467167,243.466751,0.514253,1.000000
03/03/2002 23:00,20.139278,241.649091,0.344303,237.827333,228.277452,0.476686,1.000000
04/03/2002 23:00,20.387749,241.966926,0.348372,226.897417,225.860804,0.466374,1.000000
05/03/2002 23:00,20.635147,242.288603,0.352416,209.175167,218.594821,0.446426,1.000000
06/03/2002 23:00,20.881419,242.614005,0.356435,183.703917,215.796798,0.435973,1.000000
07/03/2002 23:00,21.126513,242.943014,0.360428,60.772250,238.876532,0.477509,0.429042
08/03/2002 23:00,21.370383,243.275509,0.364395,245.791583,251.941218,0.498411,1.000000
09/03/2002 23:00,21.612983,243.611365,0.368335,207.596667,238.736826,0.467491,1.000000
10/03/2002 23:00,21.854273,243.950455,0.372247,248.087583,247.496789,0.479814,1.000000
11/03/2002 23:00,22.094213,244.292652,0.376131,180.259917,244.241415,0.468872,1.000000
12/03/2002 23:00,22.332769,244.637822,0.379985,227.399667,232.899112,0.442808,1.000000
13/03/2002 23:00,22.569906,244.985833,0.383810,206.520417,252.111122,0.474824,1.000000
14/03/2002 23:00,22.805597,245.336549,0.387606,250.287917,260.845464,0.486737,1.000000
15/03/2002 23:00,23.039813,245.689832,0.391371,216.230583,256.452423,0.474203,1.000000
16/03/2002 23:00,23.272531,246.045541,0.395105,210.131833,262.908028,0.481819,1.000000
17/03/2002 23:00,23.503729,246.403536,0.398809,157.156417,264.217283,0.479995,1.000000
18/03/2002 23:00,23.733389,246.763673,0.402481,259.184917,268.068437,0.482824,1.000000
19/03/2002 23:00,23.961493,247.125806,0.406123,262.102750,272.083013,0.485941,1.000000
20/03/2002 23:00,24.188029,247.489789,0.409732,200.445583,298.332196,0.528433,1.000000
21/03/2002 23:00,24.412985,247.855474,0.413311,268.751583,279.302628,0.490727,1.000000
22/03/2002 23:00,24.636352,248.222711,0.416858,177.892167,274.643816,0.478714,1.000000
23/03/2002 23:00,24.858123,248.591350,0.420373,52.879750,281.480598,0.486812,0.324992
24/03/2002 23:00,25.078292,248.961239,0.423856,85.143333,288.400173,0.494970,0.511866
25/03/2002 23:00,25.296858,249.332224,0.427308,270.928000,286.065799,0.487283,1.000000
26/03/2002 23:00,25.513819,249.704153,0.430729,270.377917,289.601196,0.489675,1.000000
27/03/2002 23:00,25.729176,250.076872,0.434118,206.161667,286.629774,0.481150,1.000000
28/03/2002 23:00,25.942932,250.450225,0.437476,251.531583,290.074717,0.483481,1.000000
29/03/2002 23:00,26.155090,250.824056,0.440802,208.672917,292.648362,0.484375,1.000000
30/03/2002 23:00,26.365655,251.198210,0.444098,252.870917,287.397931,0.472433,1.000000
31/03/2002 23:00,26.574635,251.572531,0.447363,270.401833,305.125845,0.498209,1.000000
01/04/2002 23:00,26.782037,251.946863,0.450598,83.206083,329.402354,0.534302,0.443874
02/04/2002 23:00,26.987871,252.321048,0.453802,253.205750,333.573827,0.537566,1.000000
