date,AirT,Iprec,Swglob,RH
21/11/2001,6.17,0,104.3245,30.55
22/11/2001,5.46,0.4,57.5435,50.1
23/11/2001,3.68,0.2,40.06041667,73.68
24/11/2001,1.89,0,146.1308333,54.68
25/11/2001,-2.51,0,31.90483333,91.61
26/11/2001,-5.4,0,59.86341667,89.21
27/11/2001,-10.01,0,106.8596667,86.63
28/11/2001,-11.36,0.4,147.231,87.01
29/11/2001,-5.21,0.8,90.07016667,84.22
30/11/2001,0.08,0,114.8956667,61.14
01/12/2001,-0.79,0.2,134.029,63.23
02/12/2001,4.02,0,138.621,60.53
03/12/2001,5.56,0,113.7955,52.81
04/12/2001,2.44,0,88.109,60.63
05/12/2001,2.78,0,137.6165,33.69
06/12/2001,5.57,0,131.8286667,41.65
07/12/2001,0.35,0,123.5056667,48.88
08/12/2001,-1.11,0,132.09175,48.18
09/12/2001,2.85,0,89.44833333,45.1
10/12/2001,-1.96,0,100.7848333,66.74
11/12/2001,-2.1,0.2,129.8196667,68.08
12/12/2001,-5.7,0,61.29841667,81.99
13/12/2001,-4.94,0.2,106.3095833,73.78
14/12/2001,0.19,0,81.6515,60.77
15/12/2001,0.34,0,69.3105,62.02
16/12/2001,-3.83,0.2,130.7524167,80.46
17/12/2001,2.74,0.2,124.7971667,48.64
18/12/2001,-1.24,0,108.8925833,67.62
19/12/2001,-1.26,0.2,127.1888333,65.06
20/12/2001,-1.01,0,114.7760833,65.72
21/12/2001,0.84,0,111.643,64.8
22/12/2001,-2.57,0,111.9060833,64.63
23/12/2001,-4.06,0,130.4415,71.13
24/12/2001,-2.63,0,123.0751667,51.63
25/12/2001,1.1,0,99.42158333,31.79
26/12/2001,1.71,0,129.4848333,38.75
27/12/2001,-0.48,0,127.2845,44.86
28/12/2001,-0.53,0,40.754,61.79
29/12/2001,-5.5,0,81.29275,78.95
30/12/2001,-6.97,0,42.73908333,85.1
31/12/2001,-5.51,0,118.4114167,82.07
01/01/2002,-8.68,0.4,72.99366667,90.57
02/01/2002,-11.01,0.2,144.2175,79.94
03/01/2002,0.25,0.8,135.0335,50.98
04/01/2002,1.58,0,48.86175,63.53
05/01/2002,-1.89,0,102.0285,61.94
06/01/2002,0.3,0,122.3576667,56.23
07/01/2002,6.79,0,122.836,48.87
08/01/2002,11.53,0,33.84208333,29.38
09/01/2002,4.88,0,108.98825,64.78
10/01/2002,-1.79,4.2,114.1781667,92.93
11/01/2002,1.8,0.2,96.83858333,62.26
12/01/2002,0.41,0,117.3351667,62.85
13/01/2002,1.86,0,125.77775,43.59
14/01/2002,-4.56,0,109.7535833,62.38
15/01/2002,-8.42,0,108.2229167,86.85
16/01/2002,-8.22,0,141.6823333,80.92
17/01/2002,-7.18,0,142.56725,68.08
18/01/2002,-7.56,0,112.00175,58.02
19/01/2002,-5.55,0,137.6404167,41.56
20/01/2002,-0.84,0,147.3984167,32.34
21/01/2002,1.99,0,149.24,39.15
22/01/2002,1.12,0,146.2265,51.77
23/01/2002,-7.19,0.4,146.8005,82.93
24/01/2002,-6.49,0.2,164.1161667,53.39
25/01/2002,3.52,0,87.55891667,45.43
26/01/2002,6.84,0,116.45025,33.13
27/01/2002,6.61,0,123.33825,28.64
28/01/2002,-6.62,0,84.11491667,88.48
29/01/2002,-6.15,0,138.97975,83.52
30/01/2002,-8.42,0.8,130.80025,83.12
31/01/2002,-7.04,0,173.0849167,50.54
01/02/2002,-4.23,0,173.8741667,52.68
02/02/2002,-0.74,0,147.2788333,48.95
03/02/2002,-0.69,0,175.5483333,50.26
04/02/2002,-0.88,0,172.2478333,45.6
05/02/2002,-2.37,0,179.73375,50.73
06/02/2002,2.48,0,184.2061667,33.34
07/02/2002,2.61,0,114.2499167,30.72
08/02/2002,1.63,0,79.3555,34.28
09/02/2002,-1.98,0,91.93566667,55.26
10/02/2002,-0.77,0,190.4245,31.36
11/02/2002,5.74,0,103.82225,25.24
12/02/2002,-3.86,0,108.3664167,64.98
13/02/2002,-0.56,0,192.9118333,48.32
14/02/2002,0.67,0,47.355,45.86
15/02/2002,0.26,0,200.5890833,40.55
16/02/2002,2.63,0,195.3513333,25.53
17/02/2002,6.77,0,192.577,27.33
18/02/2002,5.04,0,137.3773333,51.18
19/02/2002,2.92,0,186.0238333,47.33
20/02/2002,2.97,0,174.3525,49.23
21/02/2002,1.72,0,212.2604167,42.63
22/02/2002,9.06,0.2,132.5461667,23.56
23/02/2002,11.51,0,146.72875,21.68
24/02/2002,0.21,0,161.6766667,73
25/02/2002,-13.11,0,180.0925,76.11
26/02/2002,-10.61,0,228.452,56.98
27/02/2002,-5.09,0,164.451,56.63
28/02/2002,-3.93,0,192.3378333,73.27
01/03/2002,-12.69,0,143.4043333,85.16
02/03/2002,-15.94,0,233.2831667,70.31
03/03/2002,-10.52,0,242.4671667,59.13
04/03/2002,-1.03,0,237.8273333,52.6
05/03/2002,3.91,0,226.8974167,44.14
06/03/2002,1.83,0,209.1751667,66.27
07/03/2002,2.89,0,183.7039167,71.18
08/03/2002,-5.96,0,60.77225,83.08
09/03/2002,-3.81,0,245.7915833,55.74
10/03/2002,2.79,0,207.5966667,53.85
11/03/2002,6.97,0,248.0875833,36
12/03/2002,10.02,0,180.2599167,34.62
13/03/2002,5.04,0,227.3996667,65.86
14/03/2002,-4.38,1.2,206.5204167,89.47
15/03/2002,-5.5,0.6,250.2879167,85.83
16/03/2002,-1.5,0.2,216.2305833,77.03
17/03/2002,-0.84,0,210.1318333,68.7
18/03/2002,-2.15,0,157.1564167,78.64
19/03/2002,0.24,0,259.1849167,65.8
20/03/2002,4.25,0,262.10275,49.33
21/03/2002,-8.65,0,200.4455833,71.7
22/03/2002,3.45,0,268.7515833,51.19
23/03/2002,8.05,0,177.8921667,44.4
24/03/2002,-3.58,0,52.87975,90.6
25/03/2002,-5.43,0,85.14333333,95.58
26/03/2002,4.2,0.2,270.928,54.76
27/03/2002,9.19,0,270.3779167,39.08
