Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],thawed_soil_depth[mm],water_table_depth[mm]
02/01/2002 00:00,731218.000000,1.000000,1,1,4,7.012871,0.000000,7.012871,0.000000,0.000000,0.500000,0.000000,0.865302,842.506554,-10.375946,-12.185707,1.192810,-9999.000000,-9999.000000,-84.918188,-84.918188,104.885543,9.141789,95.743754,237.262648,189.573442,214.598226,83.908435,-93.414436,56.698980,18.713207,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.698980,18.799932,0.000000,0.000000,0.650202,0.000000,0.000000,0.000000,-9999.000000,0.004951,0.001785,-9999.000000,-0.170667,0.000000,-9999.000000,0.000000,20.977109,317.829621,56.698980,18.713207,131.119089,7.012871,53.484741,-10.375946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
02/01/2002 00:00,731218.000000,1.000000,1,1,4,7.007514,0.000000,7.007514,0.000000,0.000000,0.500000,0.000000,0.866298,842.143958,-10.399729,-12.194854,1.127083,-9999.000000,-9999.000000,-85.322996,-85.322996,103.684042,7.938509,95.745533,237.179514,189.511537,214.522493,82.947234,-93.186555,56.491435,18.592240,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.491435,18.678811,0.000000,0.000000,0.645973,0.000000,0.000000,0.000000,-9999.000000,0.004930,0.001784,-9999.000000,-0.170537,0.000000,-9999.000000,0.000000,20.736808,317.530914,56.491435,18.592240,131.136441,7.007514,53.436820,-10.399729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
02/01/2002 00:00,731218.000000,1.000000,1,1,4,6.992486,0.000000,6.992486,0.000000,0.000000,0.500000,0.000000,0.867953,841.542387,-10.439210,-12.210039,1.093827,-9999.000000,-9999.000000,-85.527749,-85.527749,103.365429,7.616945,95.748484,237.041567,189.408831,214.396825,82.692343,-93.163387,56.510677,18.546028,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.510677,18.632590,0.000000,0.000000,0.644354,0.000000,0.000000,0.000000,-9999.000000,0.004922,0.001783,-9999.000000,-0.170323,0.000000,-9999.000000,0.000000,20.673086,317.376023,56.510677,18.546028,131.049468,6.992486,53.357608,-10.439210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
02/01/2002 00:00,731218.000000,1.000000,1,1,4,7.013009,0.000000,7.013009,0.000000,0.000000,0.500000,0.000000,0.866002,842.251561,-10.392670,-12.192139,1.147672,-9999.000000,-9999.000000,-85.196185,-85.196185,104.064460,8.319454,95.745006,237.204186,189.529908,214.544968,83.251568,-93.259233,56.558222,18.630298,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.558222,18.716919,0.000000,0.000000,0.647304,0.000000,0.000000,0.000000,-9999.000000,0.004937,0.001784,-9999.000000,-0.170576,0.000000,-9999.000000,0.000000,20.812892,317.624409,56.558222,18.630298,131.204389,7.013009,53.451027,-10.392670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
03/01/2002 00:00,731219.000000,2.000000,1,1,4,12.564032,0.000000,12.564032,0.000000,0.000000,0.500000,0.000000,0.634595,842.506554,-5.365113,-11.202429,-10.082842,-9999.000000,-9999.000000,12.320212,-8.292571,105.233211,9.139739,96.093473,253.562597,201.607769,226.866732,23.239511,-23.058520,-13.730787,1.591567,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13.730787,1.404208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002112,0.001931,-9999.000000,-0.098593,0.000000,-9999.000000,0.000000,81.993700,271.190119,-13.730787,1.591567,202.630444,15.002952,74.040957,-1.915062,4.525441,0.048510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
03/01/2002 00:00,731219.000000,2.000000,1,1,4,12.554436,0.000000,12.554436,0.000000,0.000000,0.500000,0.000000,0.635278,842.143958,-5.388896,-11.211576,-10.103715,-9999.000000,-9999.000000,12.088160,-8.264697,104.036537,7.941249,96.095288,253.474456,201.540718,226.787469,23.024891,-23.058725,-13.692345,1.570350,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13.692345,1.385489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002109,0.001931,-9999.000000,-0.099182,0.000000,-9999.000000,0.000000,81.011646,271.103907,-13.692345,1.570350,203.487468,15.069434,74.055834,-1.829150,4.444653,0.047863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
03/01/2002 00:00,731219.000000,2.000000,1,1,4,12.527512,0.000000,12.527512,0.000000,0.000000,0.500000,0.000000,0.636415,841.542387,-5.428377,-11.226761,-10.132960,-9999.000000,-9999.000000,11.998045,-8.252188,103.716905,7.618606,96.098299,253.328200,201.429473,226.655944,22.967910,-23.081353,-13.660326,1.548838,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13.660326,1.366509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002106,0.001930,-9999.000000,-0.099048,0.000000,-9999.000000,0.000000,80.748995,270.982693,-13.660326,1.548838,203.770475,15.059189,73.902704,-1.815505,4.413602,0.047208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
03/01/2002 00:00,731219.000000,2.000000,1,1,4,12.564281,0.000000,12.564281,0.000000,0.000000,0.500000,0.000000,0.635075,842.251561,-5.381837,-11.208861,-10.098089,-9999.000000,-9999.000000,12.166706,-8.269295,104.415705,8.320956,96.094749,253.500613,201.560616,226.810992,23.092794,-23.056315,-13.706108,1.575881,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13.706108,1.390369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002110,0.001931,-9999.000000,-0.098991,0.000000,-9999.000000,0.000000,81.322911,271.127190,-13.706108,1.575881,203.354300,15.059653,74.056232,-1.853377,4.469605,0.048032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
04/01/2002 00:00,731220.000000,3.000000,1,1,4,5.462075,3.349822,5.462075,3.349822,3.349822,0.500000,0.000000,0.585972,842.506554,0.520590,-6.650618,-8.529477,-9999.000000,-9999.000000,11.174914,-7.150433,104.752551,8.682183,96.070368,266.431040,223.197699,209.693251,24.284238,-16.918293,-3.808968,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.808968,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002386,0.002760,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,80.468313,277.788918,-3.808968,-0.000000,112.514711,16.983072,150.940904,-0.056023,3.481955,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
04/01/2002 00:00,731220.000000,3.000000,1,1,4,5.510258,3.294909,5.510258,3.294909,3.294909,0.500000,0.000000,0.586568,842.143958,0.496807,-6.659765,-8.562478,-9999.000000,-9999.000000,11.021567,-7.136999,103.621620,7.549233,96.072387,266.339835,223.122693,209.621113,24.078972,-16.869014,-3.811609,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.811609,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002381,0.002760,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,79.542648,277.651207,-3.811609,-0.000000,113.855980,17.143286,150.569919,-0.055573,3.436406,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
04/01/2002 00:00,731220.000000,3.000000,1,1,4,5.585163,3.201120,5.585163,3.201120,3.201120,0.500000,0.000000,0.587560,841.542387,0.457326,-6.674950,-8.597008,-9999.000000,-9999.000000,10.946802,-7.122888,103.340730,7.264993,96.075737,266.188497,222.998247,209.501409,24.011764,-16.872291,-3.807330,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.807330,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002376,0.002758,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,79.328966,277.506048,-3.807330,-0.000000,115.149116,17.237407,149.696392,-0.055558,3.406945,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
04/01/2002 00:00,731220.000000,3.000000,1,1,4,5.499028,3.313044,5.499028,3.313044,3.313044,0.500000,0.000000,0.586391,842.251561,0.503866,-6.657050,-8.555090,-9999.000000,-9999.000000,11.082127,-7.141333,103.980248,7.908460,96.071788,266.366901,223.144952,209.642521,24.143795,-16.873524,-3.811855,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.811855,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002382,0.002760,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,79.836452,277.682163,-3.811855,-0.000000,113.494349,17.104810,150.710678,-0.055806,3.453871,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
05/01/2002 00:00,731221.000000,4.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.638941,842.506554,-0.740330,-6.717324,-6.934935,-9999.000000,-9999.000000,12.680314,-22.728756,105.387401,8.781219,96.606181,271.954035,220.043093,239.632322,28.342458,-18.267725,-2.605581,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.605581,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002701,0.002746,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,77.044942,284.526106,-2.605581,-0.000000,37.900897,7.279067,192.055266,-0.020047,9.704005,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
05/01/2002 00:00,731221.000000,4.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.639603,842.143958,-0.764113,-6.726471,-7.002414,-9999.000000,-9999.000000,12.654059,-22.711741,104.249391,7.641200,96.608191,271.860471,219.969459,239.549575,28.101569,-18.070785,-2.623275,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.623275,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002688,0.002745,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,76.147823,284.241376,-2.623275,-0.000000,38.812345,7.450025,191.949878,-0.020048,9.693261,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
05/01/2002 00:00,731221.000000,4.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.640704,841.542387,-0.803594,-6.741656,-7.085477,-9999.000000,-9999.000000,12.802597,-22.634805,103.966125,7.354600,96.611525,271.705218,219.847290,239.412266,28.030227,-17.867947,-2.640316,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.640316,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002672,0.002744,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,75.935898,283.890383,-2.640316,-0.000000,39.220083,7.518458,191.699195,-0.020008,9.718949,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
05/01/2002 00:00,731221.000000,4.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.639407,842.251561,-0.757054,-6.723756,-6.983216,-9999.000000,-9999.000000,12.670453,-22.722141,104.610247,8.002652,96.607595,271.888238,219.991311,239.574132,28.177746,-18.125671,-2.618378,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.618378,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.002691,0.002746,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,76.432501,284.322386,-2.618378,-0.000000,38.576928,7.406027,191.980732,-0.020054,9.698783,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
06/01/2002 00:00,731222.000000,5.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.599039,842.506554,-1.145677,-7.936077,-5.082476,-9999.000000,-9999.000000,-2.621500,-37.864369,106.342882,9.059012,97.283870,262.242511,216.837639,213.545394,31.521564,-35.794788,-1.651725,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.651725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003112,0.002499,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,74.821319,292.181450,-1.651725,0.000000,27.606156,5.608869,203.174558,-1.188302,1.670198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
06/01/2002 00:00,731222.000000,5.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.599658,842.143958,-1.169460,-7.945225,-5.151955,-9999.000000,-9999.000000,-2.663625,-37.884407,105.174749,7.888939,97.285809,262.152420,216.764953,213.471628,31.245552,-35.579643,-1.670466,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.670466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003097,0.002498,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,73.929197,291.882283,-1.670466,0.000000,28.501976,5.781754,202.854485,-1.148715,1.668271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
06/01/2002 00:00,731222.000000,5.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.600689,841.542387,-1.208941,-7.960410,-5.202030,-9999.000000,-9999.000000,-2.665305,-37.837019,104.883336,7.594311,97.289025,262.002932,216.644356,213.349223,31.168305,-35.507601,-1.673991,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.673991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003087,0.002497,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,73.715032,291.665123,-1.673991,0.000000,28.902521,5.851868,202.469108,-1.127193,1.666591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
06/01/2002 00:00,731222.000000,5.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.599474,842.251561,-1.162401,-7.942510,-5.130435,-9999.000000,-9999.000000,-2.649848,-37.852461,105.545814,8.260580,97.285234,262.179156,216.786523,213.493520,31.333028,-35.647401,-1.664525,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.664525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003101,0.002499,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,74.212786,291.974898,-1.664525,0.000000,28.270274,5.737192,202.940788,-1.159279,1.668835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
07/01/2002 00:00,731223.000000,6.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.529809,842.506554,3.368238,-5.304845,-4.079079,-9999.000000,-9999.000000,2.171130,-31.013583,106.426468,8.839174,97.587295,268.534396,232.875554,187.395166,33.116264,-34.037191,-3.092058,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.092058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003357,0.003060,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,73.310205,296.627569,-3.092058,0.000000,17.541421,3.903444,222.527268,-0.346976,1.705424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
07/01/2002 00:00,731223.000000,6.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.530331,842.143958,3.344455,-5.313993,-4.171111,-9999.000000,-9999.000000,2.251250,-30.992185,105.292916,7.703560,97.589356,268.442906,232.796833,187.331105,32.851984,-33.720447,-3.119712,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.119712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003335,0.003059,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,72.440932,296.227463,-3.119712,0.000000,18.418269,4.077467,221.381680,-0.262930,1.704286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
07/01/2002 00:00,731223.000000,6.000000,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.531200,841.542387,3.304974,-5.329178,-4.227873,-9999.000000,-9999.000000,2.290272,-30.922190,105.010302,7.417528,97.592774,268.291099,232.666222,187.224805,32.783836,-33.618768,-3.125204,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.125204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9999.000000,0.003324,0.003058,-9999.000000,0.000000,0.000000,-9999.000000,0.000000,72.226466,295.978986,-3.125204,0.000000,18.805747,4.148866,220.616927,-0.228759,1.703001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1350.000000,1350.000000
