Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,75 ,300 ,600 ,900 ,1200  
01/10/2002 00:00,731490.000000,0.000000,1,1,2,-3700.000000,-3700.000000,-3700.000000,-3700.000000,-3700.000000 
01/10/2002 00:00,731490.000000,0.000000,1,1,2,-3700.000000,-3700.000000,-3700.000000,-3700.000000,-3700.000000 
01/10/2002 00:00,731490.000000,0.000000,1,1,2,-3700.000000,-3700.000000,-3700.000000,-3700.000000,-3700.000000 
01/10/2002 00:00,731490.000000,0.000000,1,1,2,-3700.000000,-3700.000000,-3700.000000,-3700.000000,-3700.000000 
02/10/2002 00:00,731491.000000,1.000000,1,1,2,-1296.958913,-3674.982542,-3699.750610,-3699.876459,-3697.347598 
02/10/2002 00:00,731491.000000,1.000000,1,1,2,-1296.397582,-3675.027037,-3699.814028,-3699.965171,-3697.472592 
02/10/2002 00:00,731491.000000,1.000000,1,1,2,-1296.889676,-3674.922749,-3699.646269,-3699.729957,-3697.139845 
02/10/2002 00:00,731491.000000,1.000000,1,1,2,-1296.410479,-3674.977205,-3699.726434,-3699.842435,-3697.299195 
03/10/2002 00:00,731492.000000,2.000000,1,1,2,108.970119,-3420.610242,-3697.498733,-3699.732547,-3694.722523 
03/10/2002 00:00,731492.000000,2.000000,1,1,2,109.050246,-3420.719744,-3697.625645,-3699.909189,-3694.971128 
03/10/2002 00:00,731492.000000,2.000000,1,1,2,108.980476,-3420.511835,-3697.292423,-3699.441315,-3694.309930 
03/10/2002 00:00,731492.000000,2.000000,1,1,2,109.047641,-3420.667710,-3697.453116,-3699.666083,-3694.628534 
04/10/2002 00:00,731493.000000,3.000000,1,1,2,-254.991364,-94.390161,-3665.048914,-3699.310482,-3692.122892 
04/10/2002 00:00,731493.000000,3.000000,1,1,2,-231.104824,-72.924433,-3665.073725,-3699.573125,-3692.493714 
04/10/2002 00:00,731493.000000,3.000000,1,1,2,-242.347699,-82.986872,-3664.644662,-3698.875465,-3691.508450 
04/10/2002 00:00,731493.000000,3.000000,1,1,2,-283.950757,-120.628328,-3665.241908,-3699.215406,-3691.986185 
05/10/2002 00:00,731494.000000,4.000000,1,1,2,-634.427122,-451.423100,-483.159082,-3672.779754,-3689.331917 
05/10/2002 00:00,731494.000000,4.000000,1,1,2,-645.266580,-455.034677,-418.401164,-3672.612384,-3689.819446 
05/10/2002 00:00,731494.000000,4.000000,1,1,2,-626.432872,-438.845980,-437.428400,-3671.833866,-3688.515595 
05/10/2002 00:00,731494.000000,4.000000,1,1,2,-633.746014,-460.517381,-579.214742,-3673.454565,-3689.162004 
06/10/2002 00:00,731495.000000,5.000000,1,1,2,-699.751237,-521.488751,-592.891040,-2086.079620,-3673.346570 
06/10/2002 00:00,731495.000000,5.000000,1,1,2,-710.294291,-531.869373,-563.303774,-1835.686194,-3671.887011 
06/10/2002 00:00,731495.000000,5.000000,1,1,2,-692.654980,-513.941652,-563.402801,-1907.758759,-3670.866703 
06/10/2002 00:00,731495.000000,5.000000,1,1,2,-699.759314,-524.912669,-653.276167,-2417.216803,-3675.913278 
07/10/2002 00:00,731496.000000,6.000000,1,1,2,-671.340360,-557.795003,-629.621620,-1681.476391,-3614.705818 
07/10/2002 00:00,731496.000000,6.000000,1,1,2,-678.670926,-566.450749,-605.570649,-1496.949623,-3586.158654 
07/10/2002 00:00,731496.000000,6.000000,1,1,2,-665.440409,-549.919215,-601.626244,-1537.482545,-3593.814800 
07/10/2002 00:00,731496.000000,6.000000,1,1,2,-671.980714,-562.135703,-683.812664,-1966.148987,-3639.281656 
08/10/2002 00:00,731497.000000,7.000000,1,1,2,-668.492483,-582.984615,-649.827125,-1466.995939,-3510.769494 
08/10/2002 00:00,731497.000000,7.000000,1,1,2,-673.708706,-590.180668,-629.768055,-1324.275282,-3443.207823 
08/10/2002 00:00,731497.000000,7.000000,1,1,2,-663.226762,-574.788546,-623.012261,-1347.238039,-3460.138376 
08/10/2002 00:00,731497.000000,7.000000,1,1,2,-669.544545,-588.292081,-700.690311,-1711.942570,-3574.489321 
09/10/2002 00:00,731498.000000,8.000000,1,1,2,-745.481073,-613.360668,-664.455998,-1332.024802,-3367.937447 
09/10/2002 00:00,731498.000000,8.000000,1,1,2,-750.157517,-619.276181,-647.676688,-1218.880200,-3261.334238 
09/10/2002 00:00,731498.000000,8.000000,1,1,2,-739.536708,-604.899854,-638.879008,-1230.553788,-3284.121907 
09/10/2002 00:00,731498.000000,8.000000,1,1,2,-747.386844,-619.542200,-712.757196,-1545.743086,-3481.396883 
10/10/2002 00:00,731499.000000,9.000000,1,1,2,-809.884110,-646.573813,-678.404057,-1240.757548,-3198.498809 
10/10/2002 00:00,731499.000000,9.000000,1,1,2,-814.142186,-651.478765,-664.264015,-1149.351113,-3061.130928 
10/10/2002 00:00,731499.000000,9.000000,1,1,2,-803.164049,-637.835798,-654.041556,-1153.424943,-3085.235703 
10/10/2002 00:00,731499.000000,9.000000,1,1,2,-812.743126,-653.580226,-724.615292,-1429.674697,-3363.873560 
11/10/2002 00:00,731500.000000,10.000000,1,1,2,-839.903050,-676.946330,-692.575539,-1176.750446,-3016.175131 
11/10/2002 00:00,731500.000000,10.000000,1,1,2,-843.618376,-681.089086,-680.581890,-1101.475985,-2859.284369 
11/10/2002 00:00,731500.000000,10.000000,1,1,2,-832.735698,-667.918278,-669.335084,-1100.349648,-2881.075518 
11/10/2002 00:00,731500.000000,10.000000,1,1,2,-843.655240,-684.741809,-737.006539,-1345.974692,-3228.536631 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-901.121894,-708.688188,-707.653437,-1131.076128,-2832.867407 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-904.422417,-712.206916,-697.393224,-1067.811329,-2666.775572 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-893.143289,-699.384796,-685.403151,-1063.077370,-2684.176902 
12/10/2002 00:00,731501.000000,11.000000,1,1,2,-905.732285,-717.187278,-750.562204,-1284.800225,-3083.201831 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-948.928856,-739.573497,-723.632112,-1098.218398,-2657.072718 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-951.852973,-742.592995,-714.761769,-1043.945701,-2489.519553 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-940.244524,-729.998238,-702.225067,-1036.666647,-2501.782879 
13/10/2002 00:00,731502.000000,12.000000,1,1,2,-954.407219,-748.731860,-765.258690,-1239.861000,-2935.282384 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-991.972365,-769.209319,-740.087978,-1074.376667,-2493.692702 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-994.488105,-771.814756,-732.344648,-1026.923462,-2329.720170 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-982.625142,-759.361841,-719.388659,-1017.803304,-2336.941647 
14/10/2002 00:00,731503.000000,13.000000,1,1,2,-998.298640,-778.999130,-780.626491,-1206.649869,-2790.601678 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1034.649330,-797.776911,-756.780792,-1056.952941,-2344.788392 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1036.768547,-800.030112,-749.955295,-1014.766647,-2187.302977 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1024.639401,-787.659119,-736.667207,-1004.273795,-2190.001049 
15/10/2002 00:00,731504.000000,14.000000,1,1,2,-1041.802807,-808.174797,-796.407478,-1181.961713,-2653.016151 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1073.040665,-825.074518,-773.510007,-1044.173799,-2210.589399 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1074.782358,-827.025066,-767.435629,-1006.141851,-2061.032933 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1062.419985,-814.689675,-753.876014,-994.593673,-2059.876294 
16/10/2002 00:00,731505.000000,15.000000,1,1,2,-1080.987826,-836.062617,-812.386122,-1163.532158,-2524.649210 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1107.640499,-851.079740,-790.095271,-1034.789719,-2090.301948 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1109.003359,-852.765470,-784.640411,-1000.109682,-1949.199194 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1096.460281,-840.431273,-770.851351,-987.725621,-1944.860361 
17/10/2002 00:00,731506.000000,16.000000,1,1,2,-1116.342313,-862.643975,-828.363376,-1149.724696,-2406.333733 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1136.855829,-875.726767,-806.387896,-1027.891549,-1982.637210 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1137.700745,-877.166612,-801.448166,-995.979840,-1849.980524 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1125.180745,-864.815809,-787.459308,-982.914655,-1843.068249 
18/10/2002 00:00,731507.000000,17.000000,1,1,2,-1146.189434,-887.853595,-844.171820,-1139.329740,-2298.037207 
19/10/2002 00:00,731508.000000,18.000000,1,1,2,-1170.173592,-899.601857,-822.368412,-1022.861616,-1886.170571 
