Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,75 ,300 ,600 ,900 ,1200  
01/10/2007 00:00,733316.000000,0.000000,1,1,1,0.190394,0.191214,0.192349,1.503024,0.194775 
02/10/2007 00:00,733317.000000,1.000000,1,1,1,0.188989,0.191211,0.192349,1.503024,0.194775 
03/10/2007 00:00,733318.000000,2.000000,1,1,1,0.186718,0.191201,0.192349,1.503024,0.194775 
04/10/2007 00:00,733319.000000,3.000000,1,1,1,0.184690,0.191186,0.192349,1.503024,0.194775 
05/10/2007 00:00,733320.000000,4.000000,1,1,1,0.182860,0.191166,0.192349,1.503024,0.194775 
06/10/2007 00:00,733321.000000,5.000000,1,1,1,0.180831,0.191139,0.192349,1.503024,0.194775 
07/10/2007 00:00,733322.000000,6.000000,1,1,1,0.178645,0.191106,0.192338,1.440030,0.194745 
08/10/2007 00:00,733323.000000,7.000000,1,1,1,0.176737,0.191067,0.192337,1.503064,0.194746 
09/10/2007 00:00,733324.000000,8.000000,1,1,1,0.175077,0.191024,0.192331,1.468730,0.194730 
10/10/2007 00:00,733325.000000,9.000000,1,1,1,0.173388,0.190972,0.192330,1.503084,0.194731 
11/10/2007 00:00,733326.000000,10.000000,1,1,1,0.171855,0.190917,0.192317,1.425593,0.194694 
12/10/2007 00:00,733327.000000,11.000000,1,1,1,0.170560,0.190856,0.192316,1.503134,0.194694 
13/10/2007 00:00,733328.000000,12.000000,1,1,1,0.170192,0.190800,0.192314,1.496720,0.194692 
14/10/2007 00:00,733329.000000,13.000000,1,1,1,0.170259,0.190742,0.192313,1.503135,0.194693 
15/10/2007 00:00,733330.000000,14.000000,1,1,1,0.169662,0.190684,0.192294,1.389535,0.194636 
16/10/2007 00:00,733331.000000,15.000000,1,1,1,0.168961,0.190627,0.192292,1.498856,0.194635 
17/10/2007 00:00,733332.000000,16.000000,1,1,1,0.168068,0.190562,0.192290,1.503211,0.194637 
18/10/2007 00:00,733333.000000,17.000000,1,1,1,0.166963,0.190495,0.192274,1.407085,0.194592 
19/10/2007 00:00,733334.000000,18.000000,1,1,1,0.166044,0.190427,0.192272,1.503269,0.194593 
20/10/2007 00:00,733335.000000,19.000000,1,1,1,0.165935,0.190354,0.192271,1.503266,0.194595 
