DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutland[m3/s]
01/11/2001 00:15,0.010417,731156.010417,304.010417,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 00:30,0.020833,731156.020833,304.020833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 00:45,0.031250,731156.031250,304.031250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 01:00,0.041667,731156.041667,304.041667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 01:15,0.052083,731156.052083,304.052083,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 01:30,0.062500,731156.062500,304.062500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 01:45,0.072917,731156.072917,304.072917,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 02:00,0.083333,731156.083333,304.083333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 02:15,0.093750,731156.093750,304.093750,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 02:30,0.104167,731156.104167,304.104167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 02:45,0.114583,731156.114583,304.114583,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
01/11/2001 03:00,0.125000,731156.125000,304.125000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
