Dz,Kh,Kv,res,fc,sat,a,n,SS
200,0.11,0.11,0.1,0.15,0.64,0.06,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.57,0.1,1.35,1.00E-05
200,0.11,0.11,0.15,0.15,0.57,0.1,1.35,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
200,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
500,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
500,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
500,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
500,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
500,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
500,0.11,0.11,0.15,0.15,0.55,0.07,1.3,1.00E-05
