Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],thawed_soil_depth[mm],water_table_depth[mm]
23/03/2002 01:00,731298.041667,0.041667,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,9.718694,-9999.000000,-9999.000000,-28.185941,-28.185941,4.599182,0.000000,4.599182,342.423337,288.338289,307.247334,3.679346,-34.289169,-2.884584,0.460701,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.884584,0.462541,0.000000,0.000000,0.000672,0.000000,0.000000,0.000000,-9999.000000,0.007470,0.006381,-9999.000000,-2.718914,0.000000,-9999.000000,0.000000,0.919836,362.191883,-2.884584,0.460701,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 02:00,731298.083333,0.083333,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,13.136683,-9999.000000,-9999.000000,-3.921995,-3.921995,63.081060,0.763643,62.317417,342.808695,288.338289,307.247334,50.464848,-51.832167,1.148032,1.406645,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.148032,1.405346,0.000000,0.000000,0.002051,0.000000,0.000000,0.000000,-9999.000000,0.009407,0.006381,-9999.000000,-2.762270,0.000000,-9999.000000,0.000000,12.616212,379.403721,1.148032,1.406645,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 03:00,731298.125000,0.125000,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,17.382295,-9999.000000,-9999.000000,24.146322,24.146322,150.829391,4.872736,145.956655,344.102844,288.338289,307.247334,120.663512,-73.680382,13.540102,9.296707,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.540102,9.263180,0.000000,0.000000,0.013560,0.000000,0.000000,0.000000,-9999.000000,0.012368,0.006381,-9999.000000,-4.013258,0.000000,-9999.000000,0.000000,30.165878,401.622462,13.540102,9.296707,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 04:00,731298.166667,0.166667,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,21.195896,-9999.000000,-9999.000000,47.696634,47.696634,231.729870,11.546764,220.183105,345.341845,288.338289,307.247334,185.383896,-94.112352,27.585979,15.988932,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.585979,15.879886,0.000000,0.000000,0.023330,0.000000,0.000000,0.000000,-9999.000000,0.015701,0.006381,-9999.000000,-1.975060,0.000000,-9999.000000,0.000000,46.345974,422.428576,27.585979,15.988932,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 05:00,731298.208333,0.208333,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,24.188054,-9999.000000,-9999.000000,64.505220,64.505220,296.045968,18.423190,277.622778,346.376570,288.338289,307.247334,236.836775,-110.678316,39.301568,22.351670,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.301568,22.147204,0.000000,0.000000,0.032630,0.000000,0.000000,0.000000,-9999.000000,0.018848,0.006381,-9999.000000,-1.517294,0.000000,-9999.000000,0.000000,59.209194,439.326893,39.301568,22.351670,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 06:00,731298.250000,0.250000,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,26.163427,-9999.000000,-9999.000000,73.764407,73.764407,337.662564,23.728254,313.934309,347.112085,288.338289,307.247334,270.130051,-121.857386,47.299115,27.209143,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.299115,26.925042,0.000000,0.000000,0.039745,0.000000,0.000000,0.000000,-9999.000000,0.021219,0.006381,-9999.000000,-1.331917,0.000000,-9999.000000,0.000000,67.532513,450.766071,47.299115,27.209143,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 07:00,731298.291667,0.291667,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,27.010635,-9999.000000,-9999.000000,75.249171,75.249171,352.862183,26.355206,326.506977,347.485318,288.338289,307.247334,282.289747,-126.668759,50.860155,29.511661,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.860155,29.197200,0.000000,0.000000,0.043134,0.000000,0.000000,0.000000,-9999.000000,0.022314,0.006381,-9999.000000,-1.259999,0.000000,-9999.000000,0.000000,70.572437,455.743890,50.860155,29.511661,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 08:00,731298.333333,0.333333,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,26.678472,-9999.000000,-9999.000000,69.108542,69.108542,340.230104,25.776053,314.454051,347.465602,288.338289,307.247334,272.184083,-124.655644,49.686474,28.733422,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.686474,28.451754,0.000000,0.000000,0.042019,0.000000,0.000000,0.000000,-9999.000000,0.021879,0.006381,-9999.000000,-1.262069,0.000000,-9999.000000,0.000000,68.046021,453.792342,49.686474,28.733422,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 09:00,731298.375000,0.375000,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,25.167654,-9999.000000,-9999.000000,55.779506,55.779506,300.664457,22.025610,278.638847,347.051686,288.338289,307.247334,240.531566,-115.895050,43.806969,25.050041,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.806969,24.851064,0.000000,0.000000,0.036648,0.000000,0.000000,0.000000,-9999.000000,0.019993,0.006381,-9999.000000,-1.340148,0.000000,-9999.000000,0.000000,60.132891,444.984150,43.806969,25.050041,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
23/03/2002 10:00,731298.416667,0.416667,1,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,1012.060047,12.735077,7.405895,22.534850,-9999.000000,-9999.000000,36.000850,36.000850,237.389073,15.743155,221.645918,346.273655,288.338289,307.247334,189.911259,-101.010953,33.614302,19.285154,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.614302,19.185148,0.000000,0.000000,0.028222,0.000000,0.000000,0.000000,-9999.000000,0.017048,0.006381,-9999.000000,-1.541650,0.000000,-9999.000000,0.000000,47.477815,429.947262,33.614302,19.285154,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000
