Dz,Kh,Kv,res,fc,sat,a,n,SS
200,3.21E-01,3.21E-01,0.035,0.15,0.33,5.95E-04,1.46,1.00E-07
300,3.21E-01,3.21E-01,0.035,0.15,0.33,5.95E-04,1.46,1.00E-07
100,3.21E-01,3.21E-01,0.035,0.15,0.33,5.95E-04,1.46,1.00E-07
200,3.3,3.3,0.015,0.15,0.14,5.0E-03,1.389,3.0E-07
50,3.3,3.3,0.015,0.15,0.14,5.0E-03,1.389,3.0E-07
100,3.3,3.3,0.015,0.15,0.14,5.0E-03,1.389,3.0E-07
100,4.00E-02,4.00E-02,0.077,0.15,0.27,3.92E-04,2.5,1.0E-07
400,4.00E-02,4.00E-02,0.077,0.15,0.27,3.92E-04,2.5,1.0E-07
150,1.6,1.6,0.054,0.15,0.68,3.23E-03,1.62,3.0E-07
200,1.6,1.6,0.054,0.15,0.68,3.23E-03,1.62,3.0E-07
450,4.00E-02,4.00E-02,0.184,0.15,0.61,3.92E-04,1.50,1.0E-07
100,1.00E-04,1.00E-04,0.129,0.15,0.6,3.64E-04,1.62,1.0E-07
