@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,435,4418225,5643729,275,54375,3,20,154.6235,0,61,1,7,27.8909,0
,441,4418100,5643630,275,41250,3,20,199.2729,0,82,3,7,27.6241,0
,451,4417875,5643621,275,50000,3,20,71.8476,0,82,7,7,24.27,0
,456,4418287,5643571,276,53750,3,20,296.1447,0,32,1,7,27.2959,0
,465,4418037,5643449,275,63750,3,20,104.8677,0,82,7,17,23.0276,0
,470,4418175,5643419,275,5625,3,20,289.8111,0,32,3,7,10,0
,476,4418587,5643074,275,146250,3,20,245.0044,0,71,3,7,31.0878,0
